Duty No,Sign On Time,Sign On Loc,Sign Off Loc,Sign Off Time,Driving Hrs,Duty Hrs,Same Jurisdiction,Rake Num,Start Stn,Start Time,End Stn,End Time,Service Duration,Break,StepBack Rake
201,02:10,NFD,DW UP,08:26,03:43,06:16,Yes,304,NFD,02:35,DW UP,03:00,25,0,No StepBack
201,,,,,,,,304,DW UP,03:00,DSTO,03:22,22,3,No StepBack
201,,,,,,,,304,DSTO,03:25,DW DN,03:43,18,30,No StepBack
201,,,,,,,,313,DW DN,04:13,YB DN,05:09,56,0,No StepBack
201,,,,,,,,313,YB DN,05:09,VASI,05:26,17,10,No StepBack
201,,,,,,,,313,VASI,05:36,YB UP,05:52,16,88,No StepBack
201,,,,,,,,302,YB UP,07:20,DW UP,08:16,56,0,No StepBack
,,,,,,,,,,,,,
202,02:10,DSTO UP,DW DN,09:13,04:55,07:03,Yes,301,DSTO UP,02:35,DSTO,03:00,25,0,No StepBack
202,,,,,,,,301,DSTO,03:00,DW DN,03:21,21,42,No StepBack
202,,,,,,,,309,DW DN,04:03,YB DN,04:59,56,0,No StepBack
202,,,,,,,,309,YB DN,04:59,NECC,05:38,39,4,No StepBack
202,,,,,,,,309,NECC,05:42,YB UP,06:20,38,51,No StepBack
202,,,,,,,,306,YB UP,07:11,DW UP,08:07,56,0,No StepBack
202,,,,,,,,306,DW UP,08:07,DW DN,09:03,56,0,307
,,,,,,,,,,,,,
401,02:10,NECC 3RD,YB UP,08:43,04:13,06:33,Yes,306,NECC 3RD,02:35,NECC,03:00,25,0,No StepBack
401,,,,,,,,306,NECC,03:00,YB UP,03:45,45,33,No StepBack
401,,,,,,,,301,YB DN,04:18,NECC,04:57,39,7,No StepBack
401,,,,,,,,301,NECC,05:04,YB UP,05:42,38,72,No StepBack
401,,,,,,,,314,YB DN,06:54,YB UP,08:33,99,0,319
,,,,,,,,,,,,,
402,02:10,VASI UP,YB UP,09:16,04:56,07:06,Yes,302,VASI UP,02:35,VASI,03:00,25,0,No StepBack
402,,,,,,,,302,VASI,03:00,YB UP,03:19,19,0,No StepBack
402,,,,,,,,302,YB UP,03:19,DW UP,04:23,64,0,No StepBack
402,,,,,,,,302,DW UP,04:23,DSTO,04:42,19,3,No StepBack
402,,,,,,,,302,DSTO,04:45,DW DN,05:03,18,55,No StepBack
402,,,,,,,,314,DW DN,05:58,YB DN,06:54,56,40,No StepBack
402,,,,,,,,317,YB DN,07:34,YB UP,09:06,92,0,303
,,,,,,,,,,,,,
203,02:10,NFD,DW DN,08:39,04:02,06:29,Yes,307,NFD,02:35,DW DN,03:00,25,0,No StepBack
203,,,,,,,,307,DW DN,03:00,YB DN,04:05,65,79,No StepBack
203,,,,,,,,315,YB DN,05:24,VASI,05:41,17,10,No StepBack
203,,,,,,,,315,VASI,05:51,YB UP,06:07,16,0,No StepBack
203,,,,,,,,315,YB UP,06:07,DW UP,07:03,56,33,No StepBack
203,,,,,,,,321,DW UP,07:36,DW DN,08:29,53,0,323
,,,,,,,,,,,,,
204,02:20,NFD,DW UP,09:44,05:16,07:24,Yes,308,NFD,02:45,DW UP,03:10,25,0,No StepBack
204,,,,,,,,308,DW UP,03:10,DSTO,03:29,19,6,No StepBack
204,,,,,,,,308,DSTO,03:35,DW DN,03:53,18,34,No StepBack
204,,,,,,,,305,DW UP,04:27,DSTO,04:46,19,9,No StepBack
204,,,,,,,,305,DSTO,04:55,DW DN,05:13,18,0,No StepBack
204,,,,,,,,305,DW DN,05:13,YB DN,06:09,56,0,No StepBack
204,,,,,,,,305,YB DN,06:09,VASI,06:26,17,10,No StepBack
204,,,,,,,,305,VASI,06:36,YB UP,06:52,16,59,No StepBack
204,,,,,,,,313,YB DN,07:51,YB UP,08:38,47,0,308
204,,,,,,,,308,YB UP,08:38,DW UP,09:34,56,0,No StepBack
,,,,,,,,,,,,,
403,02:20,YBD,YB UP,09:44,05:18,07:24,Yes,310,YBD,02:45,VASI,03:26,41,9,No StepBack
403,,,,,,,,310,VASI,03:35,YB UP,03:51,16,0,No StepBack
403,,,,,,,,310,YB UP,03:51,DW UP,04:47,56,56,No StepBack
403,,,,,,,,311,DW DN,05:43,YB DN,06:39,56,0,No StepBack
403,,,,,,,,311,YB DN,06:39,YB UP,08:11,92,35,332
403,,,,,,,,305,YB DN,08:46,YB UP,09:34,48,0,325
,,,,,,,,,,,,,
205,02:25,DSTO DN,DW UP,09:28,04:28,07:03,Yes,303,DSTO DN,02:50,DSTO,03:15,25,0,No StepBack
205,,,,,,,,303,DSTO,03:15,DW DN,03:33,18,0,No StepBack
205,,,,,,,,303,DW DN,03:33,YB DN,04:29,56,33,No StepBack
205,,,,,,,,317,YB UP,05:02,DW UP,05:58,56,56,No StepBack
205,,,,,,,,313,DW DN,06:54,YB DN,07:51,57,31,No StepBack
205,,,,,,,,314,YB UP,08:22,DW UP,09:18,56,0,No StepBack
,,,,,,,,,,,,,
404,02:25,NESY,YB UP,09:39,05:10,07:14,Yes,311,NESY,02:50,NECC,03:15,25,0,No StepBack
404,,,,,,,,311,NECC,03:15,YB UP,03:53,38,0,No StepBack
404,,,,,,,,311,YB UP,03:53,DW UP,04:49,56,39,No StepBack
404,,,,,,,,319,DW UP,05:28,DSTO,05:47,19,5,No StepBack
404,,,,,,,,319,DSTO,05:52,DW DN,06:10,18,0,No StepBack
404,,,,,,,,319,DW DN,06:10,YB DN,07:06,56,50,No StepBack
404,,,,,,,,320,YB DN,07:56,YB UP,09:29,93,0,324
,,,,,,,,,,,,,
405,02:25,VASI DN,YB DN,09:24,04:25,06:59,Yes,305,VASI DN,02:50,VASI,03:15,25,0,No StepBack
405,,,,,,,,305,VASI,03:15,YB UP,03:31,16,0,No StepBack
405,,,,,,,,305,YB UP,03:31,DW UP,04:27,56,56,No StepBack
405,,,,,,,,316,DW DN,05:23,YB DN,06:19,56,33,No StepBack
405,,,,,,,,305,YB UP,06:52,DW UP,07:48,56,30,No StepBack
405,,,,,,,,302,DW DN,08:18,YB DN,09:14,56,0,No StepBack
,,,,,,,,,,,,,
406,02:25,YBD,YB DN,09:19,04:36,06:54,Yes,312,YBD,02:50,NECC,03:57,67,7,No StepBack
406,,,,,,,,312,NECC,04:04,YB UP,04:42,38,40,No StepBack
406,,,,,,,,320,YB UP,05:22,DW UP,06:18,56,63,No StepBack
406,,,,,,,,325,DW UP,07:21,DW DN,08:13,52,0,310
406,,,,,,,,310,DW DN,08:13,YB DN,09:09,56,0,No StepBack
,,,,,,,,,,,,,
206,02:30,NFD,DW DN,09:52,05:17,07:22,Yes,309,NFD,02:55,DW UP,03:20,25,0,No StepBack
206,,,,,,,,309,DW UP,03:20,DSTO,03:39,19,6,No StepBack
206,,,,,,,,309,DSTO,03:45,DW DN,04:03,18,40,No StepBack
206,,,,,,,,318,DW DN,04:43,YB DN,05:39,56,0,No StepBack
206,,,,,,,,318,YB DN,05:39,NECC,06:18,39,8,No StepBack
206,,,,,,,,318,NECC,06:26,YB UP,07:04,38,50,No StepBack
206,,,,,,,,312,YB UP,07:54,DW UP,08:50,56,0,No StepBack
206,,,,,,,,312,DW UP,08:50,DW DN,09:42,52,0,330
,,,,,,,,,,,,,
207,02:40,NFD,DW UP,10:01,05:15,07:21,Yes,313,NFD,03:05,DW UP,03:30,25,0,No StepBack
207,,,,,,,,313,DW UP,03:30,DSTO,03:49,19,6,No StepBack
207,,,,,,,,313,DSTO,03:55,DW DN,04:13,18,40,No StepBack
207,,,,,,,,310,DW DN,04:53,YB DN,05:49,56,0,No StepBack
207,,,,,,,,310,YB DN,05:49,VASI,06:06,17,10,No StepBack
207,,,,,,,,310,VASI,06:16,YB UP,06:32,16,51,No StepBack
207,,,,,,,,328,YB DN,07:23,YB UP,08:55,92,0,317
207,,,,,,,,317,YB UP,08:55,DW UP,09:51,56,0,No StepBack
,,,,,,,,,,,,,
407,02:45,YBD,YB DN,09:41,04:26,06:56,Yes,314,YBD,03:10,VASI,03:49,39,7,No StepBack
407,,,,,,,,314,VASI,03:56,YB UP,04:12,16,30,No StepBack
407,,,,,,,,312,YB UP,04:42,DW UP,05:38,56,0,No StepBack
407,,,,,,,,312,DW UP,05:38,DSTO,05:57,19,3,No StepBack
407,,,,,,,,312,DSTO,06:00,DW DN,06:18,18,85,No StepBack
407,,,,,,,,323,DW UP,07:43,DW DN,08:35,52,0,327
407,,,,,,,,327,DW DN,08:35,YB DN,09:31,56,0,No StepBack
,,,,,,,,,,,,,
408,02:55,NESY,YB UP,10:01,05:05,07:06,Yes,316,NESY,03:20,NECC,03:45,25,0,No StepBack
408,,,,,,,,316,NECC,03:45,YB UP,04:23,38,0,No StepBack
408,,,,,,,,316,YB UP,04:23,DW UP,05:19,56,34,No StepBack
408,,,,,,,,307,DW DN,05:53,YB DN,06:49,56,0,No StepBack
408,,,,,,,,307,YB DN,06:49,VASI,07:06,17,4,No StepBack
408,,,,,,,,307,VASI,07:10,YB UP,07:26,16,52,No StepBack
408,,,,,,,,301,YB DN,08:18,YB UP,09:51,93,0,322
,,,,,,,,,,,,,
208,02:55,NFD,DW DN,10:20,05:12,07:25,Yes,315,NFD,03:20,DW UP,03:45,25,0,No StepBack
208,,,,,,,,315,DW UP,03:45,DSTO,04:04,19,6,No StepBack
208,,,,,,,,315,DSTO,04:10,DW DN,04:28,18,0,No StepBack
208,,,,,,,,315,DW DN,04:28,YB DN,05:24,56,55,No StepBack
208,,,,,,,,316,YB DN,06:19,NECC,06:58,39,3,No StepBack
208,,,,,,,,316,NECC,07:01,YB UP,07:39,38,0,No StepBack
208,,,,,,,,316,YB UP,07:39,DW UP,08:35,56,43,No StepBack
208,,,,,,,,314,DW UP,09:18,DW DN,10:10,52,0,313
,,,,,,,,,,,,,
409,02:55,YBD,YB UP,10:18,05:08,07:23,Yes,317,YBD,03:20,NECC,04:21,61,3,No StepBack
409,,,,,,,,317,NECC,04:24,YB UP,05:02,38,61,No StepBack
409,,,,,,,,304,YB UP,06:03,DW UP,06:59,56,0,No StepBack
409,,,,,,,,304,DW UP,06:59,DW DN,07:45,46,39,315
409,,,,,,,,321,DW DN,08:24,YB DN,09:20,56,0,No StepBack
409,,,,,,,,321,YB DN,09:20,YB UP,10:08,48,0,327
,,,,,,,,,,,,,
209,03:06,DW DN,DW UP,10:35,05:12,07:29,Yes,301,DW DN,03:21,YB DN,04:18,57,31,No StepBack
209,,,,,,,,308,YB DN,04:49,VASI,05:06,17,8,No StepBack
209,,,,,,,,308,VASI,05:14,YB UP,05:30,16,0,No StepBack
209,,,,,,,,308,YB UP,05:30,DW UP,06:26,56,50,No StepBack
209,,,,,,,,309,DW UP,07:16,DW DN,08:01,45,0,325
209,,,,,,,,325,DW DN,08:01,YB DN,08:58,57,31,No StepBack
209,,,,,,,,324,YB UP,09:29,DW UP,10:25,56,0,No StepBack
,,,,,,,,,,,,,
410,03:05,YBD,YB UP,10:12,05:08,07:07,Yes,319,YBD,03:30,VASI,04:09,39,7,No StepBack
410,,,,,,,,319,VASI,04:16,YB UP,04:32,16,0,No StepBack
410,,,,,,,,319,YB UP,04:32,DW UP,05:28,56,50,No StepBack
410,,,,,,,,320,DW UP,06:18,DSTO,06:37,19,4,No StepBack
410,,,,,,,,320,DSTO,06:41,DW DN,07:00,19,0,No StepBack
410,,,,,,,,320,DW DN,07:00,YB DN,07:56,56,34,No StepBack
410,,,,,,,,322,YB DN,08:30,YB UP,10:02,92,0,315
,,,,,,,,,,,,,
210,03:10,NFD,DW DN,10:03,04:39,06:53,Yes,318,NFD,03:35,DW UP,04:00,25,0,No StepBack
210,,,,,,,,318,DW UP,04:00,DSTO,04:19,19,6,No StepBack
210,,,,,,,,318,DSTO,04:25,DW DN,04:43,18,45,No StepBack
210,,,,,,,,306,DW DN,05:28,YB DN,06:24,56,0,No StepBack
210,,,,,,,,306,YB DN,06:24,VASI,06:41,17,14,No StepBack
210,,,,,,,,306,VASI,06:55,YB UP,07:11,16,54,No StepBack
210,,,,,,,,330,YB UP,08:05,DW UP,09:01,56,0,No StepBack
210,,,,,,,,330,DW UP,09:01,DW DN,09:53,52,0,332
,,,,,,,,,,,,,
411,03:15,YBD,YB DN,10:31,05:10,07:16,Yes,320,YBD,03:40,NECC,04:41,61,3,No StepBack
411,,,,,,,,320,NECC,04:44,YB UP,05:22,38,35,No StepBack
411,,,,,,,,322,YB UP,05:57,DW UP,06:53,56,0,No StepBack
411,,,,,,,,322,DW UP,06:53,DW DN,07:39,46,56,304
411,,,,,,,,316,DW UP,08:35,DW DN,09:25,50,0,329
411,,,,,,,,329,DW DN,09:25,YB DN,10:21,56,0,No StepBack
,,,,,,,,,,,,,
211,03:28,DW DN,DW DN,10:31,04:55,07:03,Yes,304,DW DN,03:43,YB DN,04:39,56,0,No StepBack
211,,,,,,,,304,YB DN,04:39,NECC,05:18,39,7,No StepBack
211,,,,,,,,304,NECC,05:25,YB UP,06:03,38,61,No StepBack
211,,,,,,,,318,YB UP,07:04,DW UP,08:00,56,0,No StepBack
211,,,,,,,,318,DW UP,08:00,DW DN,08:52,52,42,306
211,,,,,,,,308,DW UP,09:34,DW DN,10:21,47,0,328
,,,,,,,,,,,,,
412,03:30,YB UP,YB DN,10:59,05:11,07:29,Yes,306,YB UP,03:45,DW UP,04:41,56,0,No StepBack
412,,,,,,,,306,DW UP,04:41,DSTO,05:00,19,10,No StepBack
412,,,,,,,,306,DSTO,05:10,DW DN,05:28,18,30,No StepBack
412,,,,,,,,317,DW UP,05:58,DSTO,06:17,19,3,No StepBack
412,,,,,,,,317,DSTO,06:20,DW DN,06:38,18,0,No StepBack
412,,,,,,,,317,DW DN,06:38,YB DN,07:34,56,53,No StepBack
412,,,,,,,,313,YB UP,08:27,DW UP,09:23,56,30,No StepBack
412,,,,,,,,332,DW DN,09:53,YB DN,10:49,56,0,No StepBack
,,,,,,,,,,,,,
212,03:38,DW DN,DW DN,09:46,04:04,06:08,Yes,308,DW DN,03:53,YB DN,04:49,56,30,No StepBack
212,,,,,,,,321,YB DN,05:19,NECC,05:58,39,4,No StepBack
212,,,,,,,,321,NECC,06:02,YB UP,06:40,38,0,No StepBack
212,,,,,,,,321,YB UP,06:40,DW UP,07:36,56,69,No StepBack
212,,,,,,,,329,DW UP,08:45,DW DN,09:36,51,0,312
,,,,,,,,,,,,,
213,03:33,NFD,DW UP,11:02,05:00,07:29,Yes,321,NFD,03:58,DW DN,04:23,25,0,No StepBack
213,,,,,,,,321,DW DN,04:23,YB DN,05:19,56,33,No StepBack
213,,,,,,,,313,YB UP,05:52,DW UP,06:48,56,51,No StepBack
213,,,,,,,,304,DW DN,07:39,YB DN,08:35,56,0,No StepBack
213,,,,,,,,304,YB DN,08:35,YB UP,09:26,51,30,305
213,,,,,,,,321,YB UP,09:56,DW UP,10:52,56,0,No StepBack
,,,,,,,,,,,,,
413,03:50,YB DN,YB UP,11:13,05:04,07:23,Yes,307,YB DN,04:05,VASI,04:22,17,14,No StepBack
413,,,,,,,,307,VASI,04:36,YB UP,04:52,16,0,No StepBack
413,,,,,,,,307,YB UP,04:52,DW UP,05:48,56,30,No StepBack
413,,,,,,,,312,DW DN,06:18,YB DN,07:14,56,0,No StepBack
413,,,,,,,,312,YB DN,07:14,YB UP,08:05,51,53,330
413,,,,,,,,325,YB DN,08:58,YB UP,09:45,47,31,310
413,,,,,,,,316,YB DN,10:16,YB UP,11:03,47,0,319
,,,,,,,,,,,,,
414,03:57,YB UP,YB UP,10:57,04:59,07:00,Yes,314,YB UP,04:12,DW UP,05:08,56,0,No StepBack
414,,,,,,,,314,DW UP,05:08,DSTO,05:27,19,13,No StepBack
414,,,,,,,,314,DSTO,05:40,DW DN,05:58,18,40,No StepBack
414,,,,,,,,301,DW UP,06:38,DSTO,06:57,19,6,No StepBack
414,,,,,,,,301,DSTO,07:03,DW DN,07:22,19,0,No StepBack
414,,,,,,,,301,DW DN,07:22,YB DN,08:18,56,56,No StepBack
414,,,,,,,,302,YB DN,09:14,YB UP,10:47,93,0,323
,,,,,,,,,,,,,
415,04:14,YB DN,YB DN,11:44,05:07,07:30,Yes,303,YB DN,04:29,VASI,04:46,17,10,No StepBack
415,,,,,,,,303,VASI,04:56,YB UP,05:12,16,0,No StepBack
415,,,,,,,,303,YB UP,05:12,DW UP,06:08,56,0,No StepBack
415,,,,,,,,303,DW UP,06:08,DSTO,06:27,19,3,No StepBack
415,,,,,,,,303,DSTO,06:30,DW DN,06:48,18,57,No StepBack
415,,,,,,,,315,DW DN,07:45,YB DN,08:41,56,31,No StepBack
415,,,,,,,,304,YB UP,09:12,DW UP,10:08,56,30,No StepBack
