Duty No,Sign On Time,Sign On Loc,Sign Off Loc,Sign Off Time,Driving Hrs,Duty Hrs,Same Jurisdiction,1st Trip,2nd Trip,3rd Trip,4th Trip,1st Break,2nd Break,3rd Break,1st break Jursd,2nd break Jursd,3rd break Jursd
201,02:10,NFD,DW UP,08:26,03:43,06:16,Yes,01:08,01:39,00:56,,00:30,01:28,,DW,YB,
202,02:10,DSTO UP,DW DN,09:13,04:55,07:03,Yes,00:46,02:17,01:52,,00:42,00:51,,DW,YB,
401,02:10,NECC 3RD,YB UP,08:43,04:13,06:33,Yes,01:10,01:24,01:39,,00:33,01:12,,YB,YB,
402,02:10,VASI UP,YB UP,09:16,04:56,07:06,Yes,02:28,00:56,01:32,,00:55,00:40,,DW,YB,
203,02:10,NFD,DW DN,08:39,04:02,06:29,Yes,01:30,01:39,00:53,,01:19,00:33,,YB,DW,
204,02:20,NFD,DW UP,09:44,05:16,07:24,Yes,01:08,02:25,01:43,,00:34,00:59,,DW,YB,
403,02:20,YBD,YB UP,09:44,05:18,07:24,Yes,02:02,02:28,00:48,,00:56,00:35,,DW,YB,
205,02:25,DSTO DN,DW UP,09:28,04:28,07:03,Yes,01:39,00:56,00:57,00:56,00:33,00:56,00:31,YB,DW,YB
404,02:25,NESY,YB UP,09:39,05:10,07:14,Yes,01:59,01:38,01:33,,00:39,00:50,,DW,YB,
405,02:25,VASI DN,YB DN,09:24,04:25,06:59,Yes,01:37,00:56,00:56,00:56,00:56,00:33,00:30,DW,YB,DW
406,02:25,YBD,YB DN,09:19,04:36,06:54,Yes,01:52,00:56,01:48,,00:40,01:03,,YB,DW,
206,02:30,NFD,DW DN,09:52,05:17,07:22,Yes,01:08,02:21,01:48,,00:40,00:50,,DW,YB,
207,02:40,NFD,DW UP,10:01,05:15,07:21,Yes,01:08,01:39,02:28,,00:40,00:51,,DW,YB,
407,02:45,YBD,YB DN,09:41,04:26,06:56,Yes,01:02,01:36,01:48,,00:30,01:25,,YB,DW,
408,02:55,NESY,YB UP,10:01,05:05,07:06,Yes,01:59,01:33,01:33,,00:34,00:52,,DW,YB,
208,02:55,NFD,DW DN,10:20,05:12,07:25,Yes,02:04,02:16,00:52,,00:55,00:43,,YB,DW,
409,02:55,YBD,YB UP,10:18,05:08,07:23,Yes,01:42,01:42,01:44,,01:01,00:39,,YB,DW,
209,03:06,DW DN,DW UP,10:35,05:12,07:29,Yes,00:57,01:37,01:42,00:56,00:31,00:50,00:31,YB,DW,YB
410,03:05,YBD,YB UP,10:12,05:08,07:07,Yes,01:58,01:38,01:32,,00:50,00:34,,DW,YB,
210,03:10,NFD,DW DN,10:03,04:39,06:53,Yes,01:08,01:43,01:48,,00:45,00:54,,DW,YB,
411,03:15,YBD,YB DN,10:31,05:10,07:16,Yes,01:42,01:42,01:46,,00:35,00:56,,YB,DW,
211,03:28,DW DN,DW DN,10:31,04:55,07:03,Yes,02:20,01:48,00:47,,01:01,00:42,,YB,DW,
412,03:30,YB UP,YB DN,10:59,05:11,07:29,Yes,01:43,01:36,00:56,00:56,00:30,00:53,00:30,DW,YB,DW
212,03:38,DW DN,DW DN,09:46,04:04,06:08,Yes,00:56,02:17,00:51,,00:30,01:09,,YB,DW,
213,03:33,NFD,DW UP,11:02,05:00,07:29,Yes,01:21,00:56,01:47,00:56,00:33,00:51,00:30,YB,DW,YB
413,03:50,YB DN,YB UP,11:13,05:04,07:23,Yes,01:43,01:47,00:47,00:47,00:30,00:53,00:31,DW,YB,YB
414,03:57,YB UP,YB UP,10:57,04:59,07:00,Yes,01:46,01:40,01:33,,00:40,00:56,,DW,YB,
415,04:14,YB DN,YB DN,11:44,05:07,07:30,Yes,02:19,00:56,00:56,00:56,00:57,00:31,00:30,DW,YB,DW
214,04:34,DW UP,DW DN,11:49,05:05,07:15,Yes,00:54,02:23,01:48,,00:43,01:02,,DW,YB,
416,04:29,NESY,YB UP,11:53,05:24,07:24,Yes,01:03,01:52,02:29,,00:35,00:50,,YB,DW,
215,04:48,DW DN,DW DN,11:44,04:58,06:56,Yes,02:17,01:48,00:53,,00:51,00:42,,YB,DW,
417,04:40,YBD,YB DN,12:06,05:12,07:26,Yes,01:42,01:42,01:48,,00:39,01:00,,YB,DW,
418,04:47,YBD,YB UP,12:15,05:15,07:28,Yes,01:56,01:46,01:33,,00:46,00:52,,DW,YB,
419,04:57,NESY,YB UP,12:20,05:14,07:23,Yes,01:59,02:28,00:47,,00:35,00:59,,DW,YB,
216,05:16,NFD,DW DN,12:06,04:53,06:50,Yes,02:13,01:48,00:52,,00:50,00:32,,YB,DW,
420,05:27,YB UP,YB UP,11:36,04:13,06:09,Yes,00:56,02:29,00:48,,00:33,00:58,,DW,YB,
421,05:33,YBD,YB UP,12:48,05:16,07:15,Yes,01:56,01:48,01:32,,00:34,00:50,,DW,YB,
217,05:37,NFD,DW UP,13:05,04:56,07:28,Yes,01:21,00:56,00:56,01:43,00:53,00:30,00:34,YB,DW,YB
218,05:42,NFD,DW UP,13:11,04:57,07:29,Yes,02:09,00:56,00:56,00:56,00:50,00:30,00:37,YB,DW,YB
219,05:55,DSTO DN,DW UP,13:16,04:55,07:21,Yes,02:07,00:56,00:56,00:56,00:50,00:30,00:31,YB,DW,YB
422,06:05,YB UP,YB UP,13:50,05:22,07:45,Yes,00:56,00:56,01:46,01:44,00:34,00:54,00:30,DW,YB,DW
423,06:05,YBD,YB DN,14:03,05:24,07:58,Yes,01:52,01:44,01:48,,01:09,00:50,,YB,DW,
424,06:08,YBD,YB UP,14:07,05:26,07:59,Yes,02:05,01:48,01:33,,01:19,00:39,,DW,YB,
425,06:21,NECC DN,YB UP,13:11,04:28,06:50,Yes,01:59,00:56,01:33,,01:14,00:33,,DW,YB,
901,06:32,YB UP,DW UP,11:42,02:49,05:10,No,00:56,00:57,00:56,,01:25,00:31,,DW,YB,
220,06:33,DW DN,DW UP,14:07,05:17,07:34,Yes,02:29,00:56,00:56,00:56,00:51,00:30,00:31,YB,DW,YB
221,06:27,NFD,DW DN,12:34,03:57,06:07,Yes,02:09,00:56,00:52,,01:01,00:34,,YB,DW,
222,06:38,NFD,DW DN,14:37,05:31,07:59,Yes,02:09,02:29,00:53,,01:09,00:44,,YB,DW,
223,06:48,DW UP,DW UP,14:29,05:50,07:41,Yes,00:53,02:29,02:28,,00:33,00:53,,DW,YB,
426,06:51,YB DN,YB UP,14:40,05:54,07:49,Yes,01:38,01:48,02:28,,00:50,00:40,,YB,DW,
224,07:01,DSTO,DW DN,14:48,05:27,07:47,Yes,01:14,01:33,01:48,00:52,00:33,00:50,00:32,YB,YB,DW
427,07:01,VASI,YB DN,14:59,05:39,07:58,Yes,01:12,01:43,00:56,01:48,00:30,00:50,00:34,DW,YB,DW
428,07:07,NECC,YB UP,15:02,05:35,07:55,Yes,01:34,00:56,01:33,01:32,00:35,00:50,00:30,DW,YB,YB
225,07:17,NFD,DW DN,14:53,05:01,07:36,Yes,01:21,00:56,00:56,01:48,00:37,00:52,00:31,YB,DW,YB
429,08:18,YB UP,YB DN,15:16,04:36,06:58,Yes,00:56,00:56,01:48,00:56,00:52,00:31,00:34,DW,YB,DW
430,08:26,YB DN,YB UP,16:21,05:45,07:55,Yes,01:32,01:44,02:29,,00:36,01:09,,YB,DW,
226,08:26,DW DN,DW DN,16:12,05:49,07:46,Yes,02:28,02:28,00:53,,00:53,00:39,,YB,DW,
431,08:34,YB UP,YB DN,16:23,05:24,07:49,Yes,00:56,01:48,01:44,00:56,00:40,00:50,00:30,DW,YB,DW
227,08:37,DW DN,DW DN,16:28,05:28,07:51,Yes,00:56,00:56,01:48,01:48,00:36,00:51,00:31,YB,DW,YB
432,08:46,YB UP,YB UP,16:26,05:19,07:40,Yes,00:56,00:56,01:43,01:44,00:30,00:56,00:30,DW,YB,DW
228,08:48,DW DN,DW UP,16:37,05:24,07:49,Yes,00:56,01:49,00:56,01:43,00:53,00:33,00:34,YB,DW,YB
433,08:54,YB DN,YB UP,16:54,05:43,08:00,Yes,00:47,02:28,02:28,,00:59,00:53,,YB,DW,
229,09:08,DW UP,DW UP,16:54,05:29,07:46,Yes,01:49,00:56,01:48,00:56,00:31,00:50,00:31,YB,DW,YB
434,09:11,YB UP,YB DN,16:57,05:24,07:46,Yes,00:56,01:48,01:43,00:57,00:53,00:34,00:30,DW,YB,DW
230,09:21,DW DN,DW UP,16:21,04:37,07:00,Yes,00:56,00:56,01:49,00:56,00:37,00:50,00:31,YB,DW,YB
435,09:30,YB UP,YB DN,17:19,05:25,07:49,Yes,00:56,01:49,01:44,00:56,00:56,00:33,00:30,DW,YB,DW
231,09:33,DW DN,DW DN,17:19,05:49,07:46,Yes,02:28,02:28,00:53,,00:53,00:39,,YB,DW,
436,09:33,YB DN,YB UP,17:11,05:44,07:38,Yes,02:28,02:28,00:48,,00:53,00:36,,DW,YB,
232,09:36,DW UP,DW DN,17:07,05:09,07:31,Yes,00:52,02:29,01:48,,01:07,00:50,,DW,YB,
437,09:44,YB DN,YB DN,17:02,04:56,07:18,Yes,01:32,02:28,00:56,,00:42,01:15,,YB,DW,
233,09:49,DW DN,DW DN,17:35,05:24,07:46,Yes,01:44,00:56,00:56,01:48,00:50,00:30,00:37,YB,DW,YB
438,09:50,YB DN,YB UP,17:22,05:08,07:32,Yes,00:47,01:44,00:53,01:44,00:53,00:33,00:33,YB,DW,DW
234,09:55,DW DN,DW UP,17:44,05:24,07:49,Yes,00:56,01:44,01:48,00:56,00:50,00:39,00:31,YB,DW,YB
439,09:58,YB UP,YB DN,17:41,05:23,07:43,Yes,00:56,00:56,01:43,01:48,00:30,00:51,00:34,DW,YB,DW
235,09:58,DW UP,DW DN,17:02,05:10,07:04,Yes,01:49,02:29,00:52,,00:33,00:56,,YB,DW,
440,10:12,YB DN,YB UP,17:55,05:19,07:43,Yes,01:44,00:56,00:56,01:43,00:30,00:59,00:30,DW,YB,DW
441,10:26,YB UP,YB DN,18:20,05:30,07:54,Yes,00:56,01:49,01:49,00:56,00:50,00:36,00:33,DW,YB,DW
442,10:32,YB UP,YB UP,16:09,03:24,05:37,Yes,00:56,00:56,01:32,,00:41,01:07,,DW,YB,
236,10:40,DW DN,DW UP,18:29,05:24,07:49,Yes,00:56,01:48,00:56,01:44,00:31,00:56,00:33,YB,DW,YB
443,10:43,YB UP,YB DN,17:36,04:37,06:53,Yes,01:48,00:57,00:56,00:56,00:50,00:31,00:30,DW,YB,DW
237,10:43,DW UP,DW UP,18:36,05:51,07:53,Yes,00:52,02:29,02:30,,00:45,00:52,,DW,YB,
444,10:48,YB UP,YB DN,18:26,05:20,07:38,Yes,00:56,01:44,01:44,00:56,00:53,00:30,00:30,DW,YB,DW
238,10:56,DW DN,DW UP,18:40,05:24,07:44,Yes,01:44,01:48,00:56,00:56,00:34,00:50,00:31,YB,DW,YB
239,11:05,DW UP,DW UP,18:51,05:29,07:46,Yes,01:49,01:48,00:56,00:56,00:31,00:50,00:31,YB,DW,YB
240,11:07,DW DN,DW DN,18:59,05:30,07:52,Yes,00:57,00:56,01:49,01:48,00:31,00:55,00:31,YB,DW,YB
445,11:19,YB DN,YB UP,18:23,05:04,07:04,Yes,00:48,01:48,02:28,,00:50,00:45,,YB,DW,
446,11:24,YB DN,YB DN,18:54,05:10,07:30,Yes,01:33,01:48,01:49,,00:45,01:10,,YB,DW,
241,11:30,DW DN,DW UP,19:19,05:24,07:49,Yes,01:44,01:48,00:56,00:56,00:33,00:56,00:31,YB,DW,YB
447,12:01,YB UP,YB DN,19:44,05:23,07:43,Yes,01:48,01:43,00:56,00:56,00:51,00:34,00:30,DW,YB,DW
242,12:03,DW DN,DW UP,19:42,05:19,07:39,Yes,01:44,01:43,00:56,00:56,00:31,00:53,00:31,YB,DW,YB
448,12:15,YB DN,YB UP,20:15,05:44,08:00,Yes,01:43,02:29,01:32,,00:36,01:15,,DW,YB,
243,12:24,DW UP,DW UP,20:10,05:24,07:46,Yes,01:48,01:44,00:56,00:56,00:50,00:36,00:31,YB,DW,YB
244,12:31,DW DN,DW DN,20:23,05:50,07:52,Yes,02:29,02:29,00:52,,00:52,00:45,,YB,DW,
245,13:10,DW DN,DW UP,19:58,04:32,06:48,Yes,01:44,00:56,00:56,00:56,00:50,00:30,00:31,YB,DW,YB
449,13:38,YB DN,YBD,21:15,05:27,07:37,Yes,01:33,01:48,02:06,,00:45,00:50,,YB,DW,
246,13:44,DW DN,DW UP,21:33,05:24,07:49,Yes,01:44,01:48,00:56,00:56,00:33,00:56,00:31,YB,DW,YB
450,13:55,YB DN,YBD,21:49,05:22,07:54,Yes,01:44,02:28,01:10,,00:58,00:59,,DW,YB,
451,14:01,YB DN,YB UP,21:52,05:45,07:51,Yes,01:32,01:48,02:25,,01:02,00:39,,YB,DW,
452,14:04,YB UP,VASI,22:04,05:41,08:00,Yes,01:48,00:56,01:44,01:13,00:34,00:50,00:30,DW,YB,DW
247,14:12,DW DN,NFD,22:03,05:22,07:51,Yes,02:28,02:29,00:25,,01:15,00:39,,YB,DW,
248,14:23,DW DN,JPW SDG,22:19,05:29,07:56,Yes,02:28,00:56,00:56,01:09,00:51,00:30,00:31,YB,DW,YB
249,14:28,DW DN,DSTO,22:26,05:39,07:58,Yes,01:44,01:44,00:56,01:15,00:53,00:30,00:31,YB,DW,YB
453,14:34,YB DN,YB UP,22:33,05:54,07:59,Yes,02:29,01:49,01:36,,01:01,00:39,,DW,YB,
250,14:45,DW DN,KNR SDG,22:41,05:21,07:56,Yes,00:56,01:49,00:56,01:40,00:31,00:50,00:39,YB,DW,YB
454,14:45,YB DN,YBD,22:39,05:21,07:54,Yes,02:29,00:56,01:56,,00:58,01:00,,DW,YB,
251,15:08,DW DN,DW DN,22:43,05:47,07:35,Yes,02:28,02:28,00:51,,00:53,00:30,,YB,DW,
455,15:11,YB UP,YB DN,23:04,05:28,07:53,Yes,01:48,00:57,00:56,01:47,00:50,00:31,00:39,DW,YB,DW
252,15:17,DW UP,DW DN,22:52,05:10,07:35,Yes,01:48,00:47,01:44,00:51,00:34,00:53,00:33,YB,YB,DW
253,15:24,DW DN,NFD,23:24,05:27,08:00,Yes,00:56,01:49,00:56,01:46,00:31,00:56,00:31,YB,DW,YB
456,15:28,YB UP,YBD,23:20,05:18,07:52,Yes,01:48,02:29,01:01,,01:01,00:58,,DW,YB,
457,15:47,YB DN,NESY,23:17,05:16,07:30,Yes,00:48,02:28,02:00,,00:47,00:52,,YB,DW,
458,16:15,YB DN,YB UP,23:28,05:00,07:13,Yes,02:28,00:56,01:36,,01:15,00:33,,DW,YB,
459,16:29,YB UP,NESY,23:47,04:48,07:18,Yes,00:56,00:56,00:56,02:00,00:30,00:50,00:35,DW,YB,DW
460,16:32,YB DN,YB UP,23:48,05:04,07:16,Yes,00:47,01:48,02:29,,01:13,00:34,,YB,DW,
254,16:35,DW UP,DW DN,23:43,05:02,07:08,Yes,01:48,02:28,00:46,,00:34,01:07,,YB,DW,
461,16:37,YB DN,NESY,24:00,05:22,07:23,Yes,01:33,01:49,02:00,,00:55,00:31,,YB,DW,
462,16:40,YB UP,YB UP,24:07,05:06,07:27,Yes,00:56,00:56,01:43,01:31,00:30,00:51,00:35,DW,YB,DW
255,16:42,DW DN,NFD,24:11,05:02,07:29,Yes,00:57,00:56,01:48,01:21,00:31,00:50,00:31,YB,DW,YB
463,16:48,YB DN,YB DN,23:56,04:55,07:08,Yes,01:33,01:44,01:38,,00:47,01:01,,YB,DW,
256,16:48,DW DN,NFD,23:43,04:41,06:55,Yes,02:29,01:47,00:25,,01:07,00:32,,YB,DW,
464,16:54,YB DN,NECC,22:09,03:19,05:15,Yes,00:48,00:56,01:35,,00:33,00:58,,YB,DW,
465,16:59,YB DN,YBD,24:24,05:19,07:25,Yes,01:33,01:50,01:56,,00:50,00:41,,YB,DW,
466,17:03,YB UP,YB UP,22:50,03:23,05:47,Yes,00:56,00:56,01:31,,01:13,00:46,,DW,YB,
467,17:11,YB DN,NESY,24:38,05:18,07:27,Yes,02:28,01:46,01:04,,00:50,00:44,,DW,YB,
257,17:14,DW UP,NFD,24:37,05:21,07:23,Yes,00:52,02:26,02:03,,00:34,00:53,,DW,YB,
258,17:16,DW DN,NFD,24:18,04:31,07:02,Yes,00:56,01:33,01:37,00:25,00:50,00:31,00:35,YB,YB,DW
468,17:16,YB DN,YBD,24:38,04:49,07:22,Yes,01:44,01:44,00:56,00:25,00:52,00:32,00:34,DW,YB,DW
259,17:25,DW UP,DSTO DN,24:36,05:05,07:11,Yes,00:47,01:49,02:29,,00:59,00:32,,DW,YB,
469,17:27,YB DN,YBD,24:05,04:27,06:38,Yes,00:48,01:43,01:56,,00:31,01:05,,YB,DW,
470,17:36,YB UP,YBD,24:58,05:18,07:22,Yes,01:48,01:46,01:44,,00:51,00:38,,DW,YB,
