,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
CC1 INDUCTIONS,17,,CC1 STABLING,18,,,
CC2 INDUCTIONS,19,,CC2 STABLING,18,,,
TOTAL INDUCTIONS,36,,TOTAL STABLING,36,,,
,,,,,,,
Induction Rows are as follows:,,,,,,,
,,,,,,,
66,301,DSTO UP,02:35,DSTO,03:00,DN,25
,,,,,,,
12,302,VASI UP,02:35,VASI,03:00,UP,25
,,,,,,,
73,303,DSTO DN,02:50,DSTO,03:15,DN,25
,,,,,,,
0,304,NFD,02:35,DW UP,03:00,UP,25
,,,,,,,
16,305,VASI DN,02:50,VASI,03:15,UP,25
,,,,,,,
20,306,NECC 3RD,02:35,NECC,03:00,UP,25
,,,,,,,
59,307,NFD,02:35,DW DN,03:00,DN,25
,,,,,,,
2,308,NFD,02:45,DW UP,03:10,UP,25
,,,,,,,
4,309,NFD,02:55,DW UP,03:20,UP,25
,,,,,,,
32,310,YBD,02:45,VASI,03:26,DN,41
,,,,,,,
24,311,NESY,02:50,NECC,03:15,UP,25
,,,,,,,
37,312,YBD,02:50,NECC,03:57,DN,67
,,,,,,,
6,313,NFD,03:05,DW UP,03:30,UP,25
,,,,,,,
41,314,YBD,03:10,VASI,03:49,DN,39
,,,,,,,
8,315,NFD,03:20,DW UP,03:45,UP,25
,,,,,,,
28,316,NESY,03:20,NECC,03:45,UP,25
,,,,,,,
46,317,YBD,03:20,NECC,04:21,DN,61
,,,,,,,
10,318,NFD,03:35,DW UP,04:00,UP,25
,,,,,,,
50,319,YBD,03:30,VASI,04:09,DN,39
,,,,,,,
55,320,YBD,03:40,NECC,04:41,DN,61
,,,,,,,
119,321,NFD,03:58,DW DN,04:23,DN,25
,,,,,,,
81,322,NESY,04:54,NECC,05:19,UP,25
,,,,,,,
133,323,YBD,05:05,NECC,06:06,DN,61
,,,,,,,
137,324,YBD,05:12,VASI,05:51,DN,39
,,,,,,,
107,325,NESY,05:22,NECC,05:47,UP,25
,,,,,,,
224,326,NFD,05:41,DW DN,06:06,DN,25
,,,,,,,
177,327,YBD,05:58,VASI,06:37,DN,39
,,,,,,,
246,328,NFD,06:02,DW DN,06:27,DN,25
,,,,,,,
182,329,NECC DN,06:46,NECC,07:11,UP,25
,,,,,,,
252,330,NFD,06:07,DW DN,06:32,DN,25
,,,,,,,
266,331,DSTO DN,06:20,DSTO,06:25,DN,5
,,,,,,,
208,332,YBD,06:30,NECC,07:31,DN,61
,,,,,,,
212,333,YBD,06:33,VASI,07:12,DN,39
,,,,,,,
309,334,NFD,06:52,DW DN,07:17,DN,25
,,,,,,,
323,335,NFD,07:03,DW DN,07:28,DN,25
,,,,,,,
374,336,NFD,07:42,DW DN,08:07,DN,25
,,,,,,,
Stabling Rows are as follows:,,,,,,,
,,,,,,,
1484,301,DW UP,23:33,NFD,23:58,UP,25
,,,,,,,
1496,302,DW UP,24:08,NFD,24:33,UP,25
,,,,,,,
1276,303,DSTO,22:39,NFD,23:04,UP,25
,,,,,,,
1488,304,DW UP,23:48,NFD,24:13,UP,25
,,,,,,,
1480,305,VASI,24:31,VASI DN,24:56,UP,25
,,,,,,,
1504,306,DW UP,24:33,NFD,24:58,UP,25
,,,,,,,
1205,307,DW UP,21:18,NFD,21:43,UP,25
,,,,,,,
1474,308,NECC,24:43,NECC DN,25:08,UP,25
,,,,,,,
1366,309,DSTO,23:51,DSTO DN,24:16,UP,25
,,,,,,,
1500,310,DW UP,24:18,DW 3RD,24:43,UP,25
,,,,,,,
1418,311,LN,23:20,YBD,23:45,UP,25
,,,,,,,
1450,312,NECC,24:08,NESY,24:33,UP,25
,,,,,,,
1290,313,KNR,21:56,KNR SDG,22:21,UP,25
,,,,,,,
1411,314,NECC,23:15,NESY,23:40,UP,25
,,,,,,,
1255,315,DSTO,23:03,NFD,23:28,UP,25
,,,,,,,
1218,316,LN,20:30,YBD,20:55,UP,25
,,,,,,,
1436,317,NECC,23:53,NESY,24:18,UP,25
,,,,,,,
1445,318,DW UP,24:57,NFD,25:22,UP,25
,,,,,,,
1182,319,JPW,21:34,JPW SDG,21:59,UP,25
,,,,,,,
1492,320,DW UP,23:53,YBD,24:18,UP,25
,,,,,,,
1393,321,DW UP,23:52,NFD,24:17,UP,25
,,,,,,,
1424,322,NECC,23:38,YBD,24:38,UP,60
,,,,,,,
1398,323,NECC,23:02,NESY,23:27,UP,25
,,,,,,,
1462,324,NECC,24:25,NSST SDG,24:50,UP,25
,,,,,,,
1377,325,LN,22:35,YBD,23:00,UP,25
,,,,,,,
1469,326,LN,24:28,YBD,24:53,UP,25
,,,,,,,
1370,327,NECC,22:32,NESY,22:57,UP,25
,,,,,,,
1357,328,DW UP,24:14,NFD,24:39,UP,25
,,,,,,,
1512,329,DW UP,25:15,NFD,25:40,UP,25
,,,,,,,
1457,330,LN,24:12,YB SDG,24:37,UP,25
,,,,,,,
1267,331,BCGN,21:37,YBD,22:19,UP,42
,,,,,,,
1261,332,LN,21:04,YBD,21:29,UP,25
,,,,,,,
1431,333,LN,23:39,YBD,24:04,UP,25
,,,,,,,
1312,334,DW UP,23:26,NFD,23:51,UP,25
,,,,,,,
1335,335,DW UP,22:58,NFD,23:23,UP,25
,,,,,,,
1508,336,DW UP,24:53,NFD,25:18,UP,25
