,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
0,304,NFD,02:35,DW UP,03:00,UP,25
66,301,DSTO UP,02:35,DSTO,03:00,DN,25
20,306,NECC 3RD,02:35,NECC,03:00,UP,25
12,302,VASI UP,02:35,VASI,03:00,UP,25
59,307,NFD,02:35,DW DN,03:00,DN,25
2,308,NFD,02:45,DW UP,03:10,UP,25
32,310,YBD,02:45,VASI,03:26,DN,41
73,303,DSTO DN,02:50,DSTO,03:15,DN,25
24,311,NESY,02:50,NECC,03:15,UP,25
16,305,VASI DN,02:50,VASI,03:15,UP,25
37,312,YBD,02:50,NECC,03:57,DN,67
4,309,NFD,02:55,DW UP,03:20,UP,25
1,304,DW UP,03:00,DSTO,03:22,UP,22
67,301,DSTO,03:00,DW DN,03:21,DN,21
60,307,DW DN,03:00,YB DN,04:05,DN,65
13,302,VASI,03:00,YB UP,03:19,UP,19
21,306,NECC,03:00,YB UP,03:45,UP,45
6,313,NFD,03:05,DW UP,03:30,UP,25
41,314,YBD,03:10,VASI,03:49,DN,39
3,308,DW UP,03:10,DSTO,03:29,UP,19
25,311,NECC,03:15,YB UP,03:53,UP,38
74,303,DSTO,03:15,DW DN,03:33,DN,18
17,305,VASI,03:15,YB UP,03:31,UP,16
14,302,YB UP,03:19,DW UP,04:23,UP,64
46,317,YBD,03:20,NECC,04:21,DN,61
5,309,DW UP,03:20,DSTO,03:39,UP,19
28,316,NESY,03:20,NECC,03:45,UP,25
8,315,NFD,03:20,DW UP,03:45,UP,25
68,301,DW DN,03:21,YB DN,04:18,DN,57
86,304,DSTO,03:25,DW DN,03:43,DN,18
7,313,DW UP,03:30,DSTO,03:49,UP,19
50,319,YBD,03:30,VASI,04:09,DN,39
18,305,YB UP,03:31,DW UP,04:27,UP,56
75,303,DW DN,03:33,YB DN,04:29,DN,56
93,308,DSTO,03:35,DW DN,03:53,DN,18
10,318,NFD,03:35,DW UP,04:00,UP,25
34,310,VASI,03:35,YB UP,03:51,UP,16
55,320,YBD,03:40,NECC,04:41,DN,61
87,304,DW DN,03:43,YB DN,04:39,DN,56
29,316,NECC,03:45,YB UP,04:23,UP,38
22,306,YB UP,03:45,DW UP,04:41,UP,56
9,315,DW UP,03:45,DSTO,04:04,UP,19
101,309,DSTO,03:45,DW DN,04:03,DN,18
35,310,YB UP,03:51,DW UP,04:47,UP,56
26,311,YB UP,03:53,DW UP,04:49,UP,56
94,308,DW DN,03:53,YB DN,04:49,DN,56
112,313,DSTO,03:55,DW DN,04:13,DN,18
43,314,VASI,03:56,YB UP,04:12,UP,16
119,321,NFD,03:58,DW DN,04:23,DN,25
11,318,DW UP,04:00,DSTO,04:19,UP,19
102,309,DW DN,04:03,YB DN,04:59,DN,56
38,312,NECC,04:04,YB UP,04:42,UP,38
61,307,YB DN,04:05,VASI,04:22,DN,17
126,315,DSTO,04:10,DW DN,04:28,DN,18
44,314,YB UP,04:12,DW UP,05:08,UP,56
113,313,DW DN,04:13,YB DN,05:09,DN,56
52,319,VASI,04:16,YB UP,04:32,UP,16
69,301,YB DN,04:18,NECC,04:57,DN,39
30,316,YB UP,04:23,DW UP,05:19,UP,56
120,321,DW DN,04:23,YB DN,05:19,DN,56
15,302,DW UP,04:23,DSTO,04:42,UP,19
47,317,NECC,04:24,YB UP,05:02,UP,38
143,318,DSTO,04:25,DW DN,04:43,DN,18
19,305,DW UP,04:27,DSTO,04:46,UP,19
127,315,DW DN,04:28,YB DN,05:24,DN,56
76,303,YB DN,04:29,VASI,04:46,DN,17
53,319,YB UP,04:32,DW UP,05:28,UP,56
63,307,VASI,04:36,YB UP,04:52,UP,16
88,304,YB DN,04:39,NECC,05:18,DN,39
23,306,DW UP,04:41,DSTO,05:00,UP,19
39,312,YB UP,04:42,DW UP,05:38,UP,56
144,318,DW DN,04:43,YB DN,05:39,DN,56
56,320,NECC,04:44,YB UP,05:22,UP,38
157,302,DSTO,04:45,DW DN,05:03,DN,18
95,308,YB DN,04:49,VASI,05:06,DN,17
27,311,DW UP,04:49,DSTO,05:08,UP,19
64,307,YB UP,04:52,DW UP,05:48,UP,56
150,310,DW DN,04:53,YB DN,05:49,DN,56
81,322,NESY,04:54,NECC,05:19,UP,25
164,305,DSTO,04:55,DW DN,05:13,DN,18
78,303,VASI,04:56,YB UP,05:12,UP,16
103,309,YB DN,04:59,NECC,05:38,DN,39
48,317,YB UP,05:02,DW UP,05:58,UP,56
158,302,DW DN,05:03,YB DN,05:59,DN,56
70,301,NECC,05:04,YB UP,05:42,UP,38
133,323,YBD,05:05,NECC,06:06,DN,61
45,314,DW UP,05:08,DSTO,05:27,UP,19
114,313,YB DN,05:09,VASI,05:26,DN,17
187,306,DSTO,05:10,DW DN,05:28,DN,18
137,324,YBD,05:12,VASI,05:51,DN,39
79,303,YB UP,05:12,DW UP,06:08,UP,56
165,305,DW DN,05:13,YB DN,06:09,DN,56
97,308,VASI,05:14,YB UP,05:30,UP,16
121,321,YB DN,05:19,NECC,05:58,DN,39
82,322,NECC,05:19,YB UP,05:57,UP,38
57,320,YB UP,05:22,DW UP,06:18,UP,56
107,325,NESY,05:22,NECC,05:47,UP,25
172,316,DW DN,05:23,YB DN,06:19,DN,56
128,315,YB DN,05:24,VASI,05:41,DN,17
89,304,NECC,05:25,YB UP,06:03,UP,38
195,311,DSTO,05:25,DW DN,05:43,DN,18
188,306,DW DN,05:28,YB DN,06:24,DN,56
54,319,DW UP,05:28,DSTO,05:47,UP,19
98,308,YB UP,05:30,DW UP,06:26,UP,56
116,313,VASI,05:36,YB UP,05:52,UP,16
40,312,DW UP,05:38,DSTO,05:57,UP,19
145,318,YB DN,05:39,NECC,06:18,DN,39
218,314,DSTO,05:40,DW DN,05:58,DN,18
224,326,NFD,05:41,DW DN,06:06,DN,25
71,301,YB UP,05:42,DW UP,06:38,UP,56
104,309,NECC,05:42,YB UP,06:20,UP,38
196,311,DW DN,05:43,YB DN,06:39,DN,56
108,325,NECC,05:47,YB UP,06:25,UP,38
151,310,YB DN,05:49,VASI,06:06,DN,17
130,315,VASI,05:51,YB UP,06:07,UP,16
117,313,YB UP,05:52,DW UP,06:48,UP,56
232,319,DSTO,05:52,DW DN,06:10,DN,18
202,307,DW DN,05:53,YB DN,06:49,DN,56
139,324,VASI,05:56,YB UP,06:12,UP,16
83,322,YB UP,05:57,DW UP,06:53,UP,56
219,314,DW DN,05:58,YB DN,06:54,DN,56
177,327,YBD,05:58,VASI,06:37,DN,39
49,317,DW UP,05:58,DSTO,06:17,UP,19
159,302,YB DN,05:59,NECC,06:38,DN,39
239,312,DSTO,06:00,DW DN,06:18,DN,18
246,328,NFD,06:02,DW DN,06:27,DN,25
122,321,NECC,06:02,YB UP,06:40,UP,38
90,304,YB UP,06:03,DW UP,06:59,UP,56
225,326,DW DN,06:06,YB DN,07:02,DN,56
