,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
17,708,IPE 3RD,02:49,IPE,02:50,DN,1
18,708,IPE,02:50,KKDA DN,02:57,DN,7
19,708,KKDA DN,02:57,MUPR,03:14,DN,17
3,707,SVVR DN,02:59,KJKS/SVVR,03:00,UP,1
27,703,MVPO DN,02:59,IPE,03:11,DN,12
9,706,MUPR DN,02:59,MUPR,03:00,DN,1
10,706,MUPR,03:00,KJKS/SVVR,03:08,DN,8
4,707,KJKS/SVVR,03:00,MUPR,03:08,UP,8
81,709,MKPR,03:00,PBGW,03:18,DN,18
5,707,MUPR,03:08,KKDA UP,03:25,UP,17
28,703,IPE,03:11,KKDA DN,03:17,DN,6
20,708,MUPR,03:14,KJKS/SVVR,03:21,DN,7
93,710,MKPR,03:15,PBGW,03:29,DN,14
12,706,KJKS/SVVR,03:15,MUPR,03:23,UP,8
29,703,KKDA DN,03:17,MUPR,03:33,DN,16
82,709,PBGW,03:18,IPE,04:32,DN,74
13,706,MUPR,03:23,KKDA UP,03:38,UP,15
1,701,DDSC DN,03:24,PBGW,03:49,UP,25
6,707,KKDA UP,03:25,IPE,03:32,UP,7
38,715,IPE,03:25,KKDA DN,03:31,DN,6
94,710,PBGW,03:29,IPE,04:28,DN,59
105,711,MKPR,03:30,PBGW,03:44,DN,14
22,708,KJKS/SVVR,03:30,MUPR,03:38,UP,8
39,715,KKDA DN,03:31,MUPR,03:46,DN,15
7,707,IPE,03:32,PBGW,04:40,UP,68
30,703,MUPR,03:33,KJKS/SVVR,03:39,DN,6
23,708,MUPR,03:38,KKDA UP,03:53,UP,15
14,706,KKDA UP,03:38,IPE,03:45,UP,7
0,702,SAKP 3RD,03:39,MKPR,03:53,UP,14
48,716,IPE,03:40,KKDA DN,03:46,DN,6
106,711,PBGW,03:44,IPE,04:43,DN,59
32,703,KJKS/SVVR,03:45,MUPR,03:53,UP,8
120,712,MKPR,03:45,PBGW,03:59,DN,14
15,706,IPE,03:45,PBGW,04:44,UP,59
40,715,MUPR,03:46,KJKS/SVVR,03:53,DN,7
49,716,KKDA DN,03:46,MUPR,04:01,DN,15
2,701,PBGW,03:49,MKPR,04:04,UP,15
33,703,MUPR,03:53,KKDA UP,04:08,UP,15
24,708,KKDA UP,03:53,IPE,04:00,UP,7
58,717,IPE,03:55,KKDA DN,04:01,DN,6
121,712,PBGW,03:59,IPE,04:58,DN,59
25,708,IPE,04:00,PBGW,04:59,UP,59
42,715,KJKS/SVVR,04:00,MUPR,04:08,UP,8
131,702,MKPR,04:00,PBGW,04:14,DN,14
