,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
CC1 INDUCTIONS,8,,CC1 STABLING,8,,,
CC2 INDUCTIONS,13,,CC2 STABLING,13,,,
TOTAL INDUCTIONS,21,,TOTAL STABLING,21,,,
,,,,,,,
Induction Rows are as follows:,,,,,,,
,,,,,,,
1,701,DDSC DN,03:24,PBGW,03:49,UP,25
,,,,,,,
0,702,SAKP 3RD,03:39,MKPR,03:53,UP,14
,,,,,,,
27,703,MVPO DN,02:59,IPE,03:11,DN,12
,,,,,,,
989,704,MUPR,22:15,KJKS/SVVR,22:21,DN,6
,,,,,,,
982,705,MUPR,22:00,KJKS/SVVR,22:06,DN,6
,,,,,,,
9,706,MUPR DN,02:59,MUPR,03:00,DN,1
,,,,,,,
3,707,SVVR DN,02:59,KJKS/SVVR,03:00,UP,1
,,,,,,,
17,708,IPE 3RD,02:49,IPE,02:50,DN,1
,,,,,,,
81,709,MKPR,03:00,PBGW,03:18,DN,18
,,,,,,,
93,710,MKPR,03:15,PBGW,03:29,DN,14
,,,,,,,
105,711,MKPR,03:30,PBGW,03:44,DN,14
,,,,,,,
120,712,MKPR,03:45,PBGW,03:59,DN,14
,,,,,,,
151,713,MKPR,04:30,PBGW,04:44,DN,14
,,,,,,,
162,714,MKPR,04:45,PBGW,04:59,DN,14
,,,,,,,
38,715,IPE,03:25,KKDA DN,03:31,DN,6
,,,,,,,
48,716,IPE,03:40,KKDA DN,03:46,DN,6
,,,,,,,
58,717,IPE,03:55,KKDA DN,04:01,DN,6
,,,,,,,
68,718,IPE,04:10,KKDA DN,04:16,DN,6
,,,,,,,
78,719,IPE,05:20,PBGW,06:19,UP,59
,,,,,,,
117,720,IPE,06:05,PBGW,07:02,UP,57
,,,,,,,
182,721,IPE,06:20,KKDA DN,06:26,DN,6
,,,,,,,
Stabling Rows are as follows:,,,,,,,
,,,,,,,
1010,701,PBGW,23:56,MKPR,24:11,UP,15
,,,,,,,
1021,702,PBGW,24:24,MKPR,24:39,UP,15
,,,,,,,
1076,703,KJKS/SVVR,24:00,MUPR 4TH PF,24:08,UP,8
,,,,,,,
994,704,PBGW,23:59,MKPR,24:14,UP,15
,,,,,,,
987,705,PBGW,23:44,MKPR,23:59,UP,15
,,,,,,,
1059,706,PBGW,22:09,IPE,23:08,DN,59
,,,,,,,
1047,707,KJKS/SVVR,23:30,IPE,23:59,UP,29
,,,,,,,
1067,708,KJKS/SVVR,23:45,IPE,24:14,UP,29
,,,,,,,
1100,709,MKPR,23:20,IPE,24:33,DN,73
,,,,,,,
1104,710,MKPR,23:32,MVPO DN PF,24:32,UP,60
,,,,,,,
1106,711,MKPR,23:46,DDSC DN,24:05,UP,19
,,,,,,,
1001,712,MUPR,22:20,MUPR 3RD SDG,22:30,UP,10
,,,,,,,
1032,713,PBGW,24:29,MKPR,24:44,UP,15
,,,,,,,
1039,714,KJKS/SVVR,23:15,IPE,23:44,UP,29
,,,,,,,
906,715,MUPR,20:40,MUPR DN,20:41,UP,1
,,,,,,,
1082,716,KJKS/SVVR,24:15,IPE,24:45,UP,30
,,,,,,,
1092,717,IPE,25:00,IPE 3RD,25:03,UP,3
,,,,,,,
1099,718,KJKS/SVVR,24:45,SVVR DN,24:46,UP,1
,,,,,,,
942,719,PBGW,22:50,MKPR,23:05,UP,15
,,,,,,,
1108,720,MKPR,23:59,SAKP 3RD,24:17,UP,18
,,,,,,,
1055,721,KJKS/SVVR,23:35,IPE,24:05,UP,30
