,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
6,708,IPE 3RD,02:49,KKDA DN,02:57,DN,8,yes,No StepBack,No StepBack,17,18
453,708,KKDA DN,02:57,MUPR,03:14,DN,17,yes,No StepBack,No StepBack,19,None
430,707,SVVR DN,02:59,KJKS/SVVR,03:00,UP,1,yes,No StepBack,No StepBack,3,None
454,706,MUPR DN,02:59,MUPR,03:00,DN,1,yes,No StepBack,No StepBack,9,None
7,703,MVPO DN,02:59,KKDA DN,03:17,DN,18,yes,No StepBack,No StepBack,27,28
456,707,KJKS/SVVR,03:00,MUPR,03:08,UP,8,yes,No StepBack,No StepBack,4,None
431,709,MKPR,03:00,PBGW,03:18,DN,18,yes,No StepBack,No StepBack,81,None
455,706,MUPR,03:00,KJKS/SVVR,03:08,DN,8,yes,No StepBack,No StepBack,10,None
457,707,MUPR,03:08,KKDA UP,03:25,UP,17,yes,No StepBack,No StepBack,5,None
458,708,MUPR,03:14,KJKS/SVVR,03:21,DN,7,yes,No StepBack,No StepBack,20,None
459,706,KJKS/SVVR,03:15,MUPR,03:23,UP,8,yes,No StepBack,No StepBack,12,None
432,710,MKPR,03:15,PBGW,03:29,DN,14,yes,No StepBack,No StepBack,93,None
460,703,KKDA DN,03:17,MUPR,03:33,DN,16,yes,No StepBack,No StepBack,29,None
8,709,PBGW,03:18,KKDA DN,04:38,DN,80,no,No StepBack,No StepBack,82,83
461,706,MUPR,03:23,KKDA UP,03:38,UP,15,yes,No StepBack,No StepBack,13,None
433,701,DDSC DN,03:24,PBGW,03:49,UP,25,yes,No StepBack,No StepBack,1,None
434,715,IPE,03:25,KKDA DN,03:31,DN,6,yes,No StepBack,No StepBack,38,None
9,707,KKDA UP,03:25,PBGW,04:40,UP,75,no,No StepBack,No StepBack,6,7
10,710,PBGW,03:29,KKDA DN,04:35,DN,66,no,No StepBack,No StepBack,94,95
435,711,MKPR,03:30,PBGW,03:44,DN,14,yes,No StepBack,No StepBack,105,None
462,708,KJKS/SVVR,03:30,MUPR,03:38,UP,8,yes,No StepBack,No StepBack,22,None
463,715,KKDA DN,03:31,MUPR,03:46,DN,15,yes,No StepBack,No StepBack,39,None
464,703,MUPR,03:33,KJKS/SVVR,03:39,DN,6,yes,No StepBack,No StepBack,30,None
465,708,MUPR,03:38,KKDA UP,03:53,UP,15,yes,No StepBack,No StepBack,23,None
11,706,KKDA UP,03:38,PBGW,04:44,UP,66,no,No StepBack,No StepBack,14,15
226,702,SAKP 3RD,03:39,PBGW,04:14,UP,35,yes,No StepBack,No StepBack,0,131
436,716,IPE,03:40,KKDA DN,03:46,DN,6,yes,No StepBack,No StepBack,48,None
12,711,PBGW,03:44,KKDA DN,04:50,DN,66,no,No StepBack,No StepBack,106,107
466,703,KJKS/SVVR,03:45,MUPR,03:53,UP,8,yes,No StepBack,No StepBack,32,None
437,712,MKPR,03:45,PBGW,03:59,DN,14,yes,No StepBack,No StepBack,120,None
467,715,MUPR,03:46,KJKS/SVVR,03:53,DN,7,yes,No StepBack,No StepBack,40,None
468,716,KKDA DN,03:46,MUPR,04:01,DN,15,yes,No StepBack,No StepBack,49,None
227,701,PBGW,03:49,PBGW,04:29,UP,40,yes,No StepBack,No StepBack,2,141
13,708,KKDA UP,03:53,PBGW,04:59,UP,66,no,No StepBack,No StepBack,24,25
469,703,MUPR,03:53,KKDA UP,04:08,UP,15,yes,No StepBack,No StepBack,33,None
438,717,IPE,03:55,KKDA DN,04:01,DN,6,yes,No StepBack,No StepBack,58,None
14,712,PBGW,03:59,KKDA DN,05:05,DN,66,no,No StepBack,No StepBack,121,122
470,715,KJKS/SVVR,04:00,MUPR,04:08,UP,8,yes,No StepBack,No StepBack,42,None
471,716,MUPR,04:01,KJKS/SVVR,04:08,DN,7,yes,No StepBack,No StepBack,50,None
472,717,KKDA DN,04:01,MUPR,04:16,DN,15,yes,No StepBack,No StepBack,59,None
