,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
365,708,DDSC SDG,04:55,PBGW UP,06:01,UP,66,yes,No StepBack,No StepBack,0,None
366,702,SVVR DN SDG,04:55,KKDA UP,06:15,UP,80,yes,No StepBack,No StepBack,1,None
92,707,MVPO DN,05:15,KKDA DN,06:21,DN,66,yes,No StepBack,No StepBack,2,30
367,701,SAKP 3RD,05:29,PBGW DN,05:33,DN,4,yes,No StepBack,No StepBack,3,None
368,706,MUPR 4TH,05:30,KKDA UP,06:04,UP,34,yes,No StepBack,No StepBack,4,None
369,720,IPE,05:30,PBGW UP,06:38,UP,68,no,No StepBack,No StepBack,5,None
93,701,PBGW DN,05:33,KKDA DN,06:47,DN,74,no,No StepBack,No StepBack,6,47
276,703,MUPR DN,05:34,PBGW DN,06:14,DN,40,no,No StepBack,No StepBack,7,19
370,710,MKPR,05:35,KKDA UP,06:25,UP,50,no,No StepBack,No StepBack,8,None
371,719,IPE,05:35,KKDA DN,05:41,DN,6,yes,No StepBack,No StepBack,9,None
372,709,MKPR,05:40,PBGW DN,05:55,DN,15,yes,No StepBack,No StepBack,10,None
277,719,KKDA DN,05:41,PBGW DN,06:35,DN,54,no,No StepBack,No StepBack,11,34
373,722,IPE,05:45,PBGW UP,06:49,UP,64,no,No StepBack,No StepBack,13,None
374,721,IPE,05:45,KKDA DN,05:50,DN,5,yes,No StepBack,No StepBack,14,None
278,721,KKDA DN,05:50,PBGW DN,06:45,DN,55,no,No StepBack,No StepBack,16,39
375,711,MKPR,05:50,PBGW DN,06:03,DN,13,yes,No StepBack,No StepBack,15,None
94,709,PBGW DN,05:55,KKDA DN,06:57,DN,62,no,No StepBack,No StepBack,17,54
376,724,IPE,06:00,PBGW UP,06:59,UP,59,no,No StepBack,No StepBack,18,None
378,712,MKPR,06:00,KKDA UP,06:37,UP,37,no,No StepBack,No StepBack,21,None
377,723,IPE,06:00,KKDA DN,06:06,DN,6,yes,No StepBack,No StepBack,20,None
185,708,PBGW UP,06:01,KKDA UP,06:57,UP,56,no,No StepBack,No StepBack,22,32
95,711,PBGW DN,06:03,KKDA DN,07:09,DN,66,no,No StepBack,No StepBack,23,64
0,706,KKDA UP,06:04,PBGW UP,07:10,UP,66,no,No StepBack,No StepBack,24,27
