Duty No,Sign On Time,Sign On Loc,Sign Off Loc,Sign Off Time,Driving Hrs,Duty Hrs,Same Jurisdiction,Rake Num,Start Stn,Start Time,End Stn,End Time,Service Duration,Break,StepBack Rake
201,04:30,DDSC SDG,PBGW DN,12:13,05:08,07:43,Yes,708,DDSC SDG,04:55,PBGW UP,06:01,66,0,No StepBack
201,,,,,,,,708,PBGW UP,06:01,KKDA UP,06:57,56,50,No StepBack
201,,,,,,,,722,KKDA UP,07:47,PBGW UP,08:54,67,30,No StepBack
201,,,,,,,,717,PBGW DN,09:24,KKDA DN,10:30,66,40,No StepBack
201,,,,,,,,711,KKDA DN,11:10,PBGW DN,12:03,53,0,No StepBack
,,,,,,,,,,,,,
401,04:30,SVVR DN SDG,KKDA UP,12:17,05:24,07:47,Yes,702,SVVR DN SDG,04:55,KKDA UP,06:15,80,32,No StepBack
401,,,,,,,,701,KKDA DN,06:47,PBGW DN,07:45,58,0,No StepBack
401,,,,,,,,701,PBGW DN,07:45,KKDA DN,08:51,66,76,No StepBack
401,,,,,,,,706,KKDA UP,10:07,PBGW UP,11:14,67,0,No StepBack
401,,,,,,,,706,PBGW UP,11:14,KKDA UP,12:07,53,0,No StepBack
,,,,,,,,,,,,,
402,04:50,MVPO DN,KKDA DN,12:09,05:04,07:19,Yes,707,MVPO DN,05:15,KKDA DN,06:21,66,70,No StepBack
402,,,,,,,,713,KKDA DN,07:31,PBGW DN,08:24,53,0,No StepBack
402,,,,,,,,713,PBGW DN,08:24,KKDA DN,09:30,66,30,No StepBack
402,,,,,,,,715,KKDA DN,10:00,PBGW DN,10:53,53,0,No StepBack
402,,,,,,,,715,PBGW DN,10:53,KKDA DN,11:59,66,0,No StepBack
,,,,,,,,,,,,,
202,05:04,SAKP 3RD,PBGW UP,11:34,04:12,06:30,Yes,701,SAKP 3RD,05:29,PBGW DN,05:33,4,0,No StepBack
202,,,,,,,,701,PBGW DN,05:33,KKDA DN,06:47,74,33,No StepBack
202,,,,,,,,703,KKDA DN,07:20,PBGW DN,08:14,54,70,No StepBack
202,,,,,,,,702,PBGW UP,09:24,KKDA UP,10:17,53,0,No StepBack
202,,,,,,,,702,KKDA UP,10:17,PBGW UP,11:24,67,0,No StepBack
,,,,,,,,,,,,,
403,05:05,MUPR 4TH,KKDA UP,11:57,04:19,06:52,Yes,706,MUPR 4TH,05:30,KKDA UP,06:04,34,0,No StepBack
403,,,,,,,,706,KKDA UP,06:04,PBGW UP,07:10,66,34,No StepBack
403,,,,,,,,712,PBGW UP,07:44,KKDA UP,08:37,53,53,No StepBack
403,,,,,,,,713,KKDA DN,09:30,PBGW DN,10:23,53,31,No StepBack
403,,,,,,,,722,PBGW UP,10:54,KKDA UP,11:47,53,0,No StepBack
,,,,,,,,,,,,,
404,05:15,IPE,KKDA UP,11:07,04:05,05:52,Yes,720,IPE,05:30,PBGW UP,06:38,68,32,No StepBack
404,,,,,,,,706,PBGW UP,07:10,KKDA UP,08:07,57,50,No StepBack
404,,,,,,,,708,KKDA UP,08:57,PBGW UP,10:04,67,0,No StepBack
404,,,,,,,,708,PBGW UP,10:04,KKDA UP,10:57,53,0,No StepBack
,,,,,,,,,,,,,
405,05:09,MUPR DN,KKDA DN,11:29,03:59,06:20,Yes,703,MUPR DN,05:34,PBGW DN,06:14,40,0,No StepBack
405,,,,,,,,703,PBGW DN,06:14,KKDA DN,07:20,66,37,No StepBack
405,,,,,,,,724,KKDA UP,07:57,PBGW UP,09:04,67,69,No StepBack
405,,,,,,,,703,PBGW DN,10:13,KKDA DN,11:19,66,0,No StepBack
,,,,,,,,,,,,,
203,05:20,MKPR,PBGW UP,11:54,04:09,06:34,Yes,710,MKPR,05:35,KKDA UP,06:25,50,0,No StepBack
203,,,,,,,,710,KKDA UP,06:25,PBGW UP,07:31,66,34,No StepBack
203,,,,,,,,711,PBGW DN,08:05,KKDA DN,09:11,66,86,No StepBack
203,,,,,,,,712,KKDA UP,10:37,PBGW UP,11:44,67,0,No StepBack
,,,,,,,,,,,,,
406,05:20,IPE,KKDA DN,11:10,04:05,05:50,Yes,719,IPE,05:35,KKDA DN,05:41,6,0,No StepBack
406,,,,,,,,719,KKDA DN,05:41,PBGW DN,06:35,54,0,No StepBack
406,,,,,,,,719,PBGW DN,06:35,KKDA DN,07:41,66,80,No StepBack
406,,,,,,,,709,KKDA DN,09:01,PBGW DN,09:54,53,0,No StepBack
406,,,,,,,,709,PBGW DN,09:54,KKDA DN,11:00,66,0,No StepBack
,,,,,,,,,,,,,
204,05:25,MKPR,PBGW DN,11:33,04:01,06:08,Yes,709,MKPR,05:40,PBGW DN,05:55,15,0,No StepBack
204,,,,,,,,709,PBGW DN,05:55,KKDA DN,06:57,62,0,No StepBack
204,,,,,,,,709,KKDA DN,06:57,PBGW DN,07:55,58,59,No StepBack
204,,,,,,,,722,PBGW UP,08:54,KKDA UP,09:47,53,43,No StepBack
204,,,,,,,,717,KKDA DN,10:30,PBGW DN,11:23,53,0,No StepBack
,,,,,,,,,,,,,
407,05:30,IPE,KKDA DN,11:39,04:15,06:09,Yes,722,IPE,05:45,PBGW UP,06:49,64,0,No StepBack
407,,,,,,,,722,PBGW UP,06:49,KKDA UP,07:47,58,50,No StepBack
407,,,,,,,,712,KKDA UP,08:37,PBGW UP,09:44,67,39,No StepBack
407,,,,,,,,713,PBGW DN,10:23,KKDA DN,11:29,66,0,No StepBack
,,,,,,,,,,,,,
408,05:30,IPE,KKDA UP,11:47,03:52,06:17,Yes,721,IPE,05:45,KKDA DN,05:50,5,0,No StepBack
408,,,,,,,,721,KKDA DN,05:50,PBGW DN,06:45,55,0,No StepBack
408,,,,,,,,721,PBGW DN,06:45,KKDA DN,07:51,66,60,No StepBack
408,,,,,,,,701,KKDA DN,08:51,PBGW DN,09:44,53,60,No StepBack
408,,,,,,,,720,PBGW UP,10:44,KKDA UP,11:37,53,0,No StepBack
,,,,,,,,,,,,,
205,05:35,MKPR,PBGW UP,12:24,04:28,06:49,Yes,711,MKPR,05:50,PBGW DN,06:03,13,0,No StepBack
205,,,,,,,,711,PBGW DN,06:03,KKDA DN,07:09,66,0,No StepBack
205,,,,,,,,711,KKDA DN,07:09,PBGW DN,08:05,56,59,No StepBack
205,,,,,,,,723,PBGW DN,09:04,KKDA DN,10:10,66,57,No StepBack
205,,,,,,,,714,KKDA UP,11:07,PBGW UP,12:14,67,0,No StepBack
,,,,,,,,,,,,,
409,05:45,IPE,KKDA UP,11:17,03:43,05:32,Yes,724,IPE,06:00,PBGW UP,06:59,59,0,No StepBack
409,,,,,,,,724,PBGW UP,06:59,KKDA UP,07:57,58,34,No StepBack
409,,,,,,,,717,KKDA DN,08:31,PBGW DN,09:24,53,50,No StepBack
409,,,,,,,,714,PBGW UP,10:14,KKDA UP,11:07,53,0,No StepBack
,,,,,,,,,,,,,
206,05:45,MKPR,PBGW UP,11:44,03:44,05:59,Yes,712,MKPR,06:00,KKDA UP,06:37,37,0,No StepBack
206,,,,,,,,712,KKDA UP,06:37,PBGW UP,07:44,67,40,No StepBack
206,,,,,,,,716,PBGW UP,08:24,KKDA UP,09:17,53,70,No StepBack
206,,,,,,,,710,KKDA UP,10:27,PBGW UP,11:34,67,0,No StepBack
,,,,,,,,,,,,,
410,05:45,IPE,KKDA UP,12:07,03:57,06:22,Yes,723,IPE,06:00,KKDA DN,06:06,6,0,No StepBack
410,,,,,,,,723,KKDA DN,06:06,PBGW DN,07:05,59,50,No StepBack
410,,,,,,,,709,PBGW DN,07:55,KKDA DN,09:01,66,39,No StepBack
410,,,,,,,,719,KKDA DN,09:40,PBGW DN,10:33,53,31,No StepBack
410,,,,,,,,724,PBGW UP,11:04,KKDA UP,11:57,53,0,No StepBack
,,,,,,,,,,,,,
207,05:56,MKPR,PBGW UP,12:44,04:27,06:48,Yes,713,MKPR,06:11,PBGW DN,06:25,14,0,No StepBack
207,,,,,,,,713,PBGW DN,06:25,KKDA DN,07:31,66,46,No StepBack
207,,,,,,,,702,KKDA UP,08:17,PBGW UP,09:24,67,70,No StepBack
207,,,,,,,,718,PBGW UP,10:34,KKDA UP,11:27,53,0,No StepBack
207,,,,,,,,718,KKDA UP,11:27,PBGW UP,12:34,67,0,No StepBack
,,,,,,,,,,,,,
411,06:00,KKDA UP,KKDA DN,12:39,04:15,06:39,Yes,702,KKDA UP,06:15,PBGW UP,07:21,66,0,No StepBack
411,,,,,,,,702,PBGW UP,07:21,KKDA UP,08:17,56,60,No StepBack
411,,,,,,,,716,KKDA UP,09:17,PBGW UP,10:24,67,59,No StepBack
411,,,,,,,,717,PBGW DN,11:23,KKDA DN,12:29,66,0,No StepBack
,,,,,,,,,,,,,
412,06:06,KKDA DN,KKDA UP,13:57,05:59,07:51,Yes,707,KKDA DN,06:21,PBGW DN,07:15,54,0,No StepBack
412,,,,,,,,707,PBGW DN,07:15,KKDA DN,08:21,66,50,No StepBack
412,,,,,,,,711,KKDA DN,09:11,PBGW DN,10:04,53,0,No StepBack
412,,,,,,,,711,PBGW DN,10:04,KKDA DN,11:10,66,37,No StepBack
412,,,,,,,,722,KKDA UP,11:47,PBGW UP,12:54,67,0,No StepBack
412,,,,,,,,722,PBGW UP,12:54,KKDA UP,13:47,53,0,No StepBack
,,,,,,,,,,,,,
208,06:15,MKPR,PBGW DN,13:52,05:43,07:37,Yes,714,MKPR,06:30,KKDA UP,07:07,37,0,No StepBack
208,,,,,,,,714,KKDA UP,07:07,PBGW UP,08:14,67,30,No StepBack
208,,,,,,,,720,PBGW UP,08:44,KKDA UP,09:37,53,0,No StepBack
208,,,,,,,,720,KKDA UP,09:37,PBGW UP,10:44,67,59,No StepBack
208,,,,,,,,701,PBGW DN,11:43,KKDA DN,12:49,66,0,No StepBack
208,,,,,,,,701,KKDA DN,12:49,PBGW DN,13:42,53,0,No StepBack
,,,,,,,,,,,,,
209,06:23,PBGW UP,PBGW UP,12:54,04:06,06:31,Yes,720,PBGW UP,06:38,KKDA UP,07:37,59,0,No StepBack
209,,,,,,,,720,KKDA UP,07:37,PBGW UP,08:44,67,60,No StepBack
209,,,,,,,,712,PBGW UP,09:44,KKDA UP,10:37,53,60,No StepBack
209,,,,,,,,720,KKDA UP,11:37,PBGW UP,12:44,67,0,No StepBack
,,,,,,,,,,,,,
210,06:25,MKPR,PBGW UP,14:24,05:43,07:59,Yes,716,MKPR,06:40,KKDA UP,07:17,37,0,No StepBack
210,,,,,,,,716,KKDA UP,07:17,PBGW UP,08:24,67,30,No StepBack
210,,,,,,,,715,PBGW DN,08:54,KKDA DN,10:00,66,50,No StepBack
210,,,,,,,,701,KKDA DN,10:50,PBGW DN,11:43,53,31,No StepBack
210,,,,,,,,714,PBGW UP,12:14,KKDA UP,13:07,53,0,No StepBack
210,,,,,,,,714,KKDA UP,13:07,PBGW UP,14:14,67,0,No StepBack
,,,,,,,,,,,,,
211,06:26,MKPR,PBGW UP,13:14,04:26,06:48,Yes,715,MKPR,06:41,PBGW DN,06:55,14,0,No StepBack
211,,,,,,,,715,PBGW DN,06:55,KKDA DN,08:01,66,0,No StepBack
211,,,,,,,,715,KKDA DN,08:01,PBGW DN,08:54,53,50,No StepBack
211,,,,,,,,701,PBGW DN,09:44,KKDA DN,10:50,66,67,No StepBack
211,,,,,,,,724,KKDA UP,11:57,PBGW UP,13:04,67,0,No StepBack
,,,,,,,,,,,,,
212,06:35,MKPR,PBGW UP,14:34,05:44,07:59,Yes,718,MKPR,06:50,KKDA UP,07:27,37,0,No StepBack
212,,,,,,,,718,KKDA UP,07:27,PBGW UP,08:34,67,30,No StepBack
212,,,,,,,,724,PBGW UP,09:04,KKDA UP,09:57,53,0,No StepBack
212,,,,,,,,724,KKDA UP,09:57,PBGW UP,11:04,67,80,No StepBack
212,,,,,,,,716,PBGW UP,12:24,KKDA UP,13:17,53,0,No StepBack
212,,,,,,,,716,KKDA UP,13:17,PBGW UP,14:24,67,0,No StepBack
,,,,,,,,,,,,,
413,06:42,KKDA UP,KKDA DN,14:37,05:57,07:55,Yes,708,KKDA UP,06:57,PBGW UP,08:04,67,0,No StepBack
413,,,,,,,,708,PBGW UP,08:04,KKDA UP,08:57,53,53,No StepBack
413,,,,,,,,721,KKDA DN,09:50,PBGW DN,10:43,53,0,No StepBack
413,,,,,,,,721,PBGW DN,10:43,KKDA DN,11:49,66,40,No StepBack
413,,,,,,,,717,KKDA DN,12:29,PBGW DN,13:22,53,0,No StepBack
413,,,,,,,,717,PBGW DN,13:22,KKDA DN,14:27,65,0,No StepBack
,,,,,,,,,,,,,
213,06:50,PBGW DN,PBGW DN,14:50,05:43,08:00,Yes,723,PBGW DN,07:05,KKDA DN,08:11,66,0,No StepBack
213,,,,,,,,723,KKDA DN,08:11,PBGW DN,09:04,53,30,No StepBack
213,,,,,,,,710,PBGW UP,09:34,KKDA UP,10:27,53,52,No StepBack
213,,,,,,,,703,KKDA DN,11:19,PBGW DN,12:12,53,30,No StepBack
213,,,,,,,,721,PBGW DN,12:42,KKDA DN,13:47,65,0,No StepBack
213,,,,,,,,721,KKDA DN,13:47,PBGW DN,14:40,53,0,No StepBack
,,,,,,,,,,,,,
214,06:56,MKPR,PBGW UP,13:44,04:27,06:48,Yes,717,MKPR,07:11,PBGW DN,07:25,14,0,No StepBack
214,,,,,,,,717,PBGW DN,07:25,KKDA DN,08:31,66,76,No StepBack
214,,,,,,,,722,KKDA UP,09:47,PBGW UP,10:54,67,40,No StepBack
214,,,,,,,,710,PBGW UP,11:34,KKDA UP,12:27,53,0,No StepBack
214,,,,,,,,710,KKDA UP,12:27,PBGW UP,13:34,67,0,No StepBack
,,,,,,,,,,,,,
215,07:16,PBGW UP,PBGW DN,15:10,06:00,07:54,Yes,710,PBGW UP,07:31,KKDA UP,08:27,56,0,No StepBack
215,,,,,,,,710,KKDA UP,08:27,PBGW UP,09:34,67,59,No StepBack
215,,,,,,,,719,PBGW DN,10:33,KKDA DN,11:39,66,0,No StepBack
215,,,,,,,,719,KKDA DN,11:39,PBGW DN,12:32,53,30,No StepBack
215,,,,,,,,723,PBGW DN,13:02,KKDA DN,14:07,65,0,No StepBack
215,,,,,,,,723,KKDA DN,14:07,PBGW DN,15:00,53,0,No StepBack
,,,,,,,,,,,,,
414,07:26,KKDA DN,KKDA UP,13:47,03:59,06:21,Yes,719,KKDA DN,07:41,PBGW DN,08:34,53,0,No StepBack
414,,,,,,,,719,PBGW DN,08:34,KKDA DN,09:40,66,77,No StepBack
414,,,,,,,,708,KKDA UP,10:57,PBGW UP,12:04,67,40,No StepBack
414,,,,,,,,720,PBGW UP,12:44,KKDA UP,13:37,53,0,No StepBack
,,,,,,,,,,,,,
415,07:36,KKDA DN,KKDA DN,15:36,05:44,08:00,Yes,721,KKDA DN,07:51,PBGW DN,08:44,53,0,No StepBack
415,,,,,,,,721,PBGW DN,08:44,KKDA DN,09:50,66,30,No StepBack
415,,,,,,,,707,KKDA DN,10:20,PBGW DN,11:13,53,51,No StepBack
415,,,,,,,,708,PBGW UP,12:04,KKDA UP,12:57,53,30,No StepBack
415,,,,,,,,713,KKDA DN,13:27,PBGW DN,14:20,53,0,No StepBack
415,,,,,,,,713,PBGW DN,14:20,KKDA DN,15:26,66,0,No StepBack
,,,,,,,,,,,,,
416,07:52,KKDA UP,KKDA UP,15:47,05:59,07:55,Yes,706,KKDA UP,08:07,PBGW UP,09:14,67,0,No StepBack
416,,,,,,,,706,PBGW UP,09:14,KKDA UP,10:07,53,53,No StepBack
416,,,,,,,,709,KKDA DN,11:00,PBGW DN,11:53,53,0,No StepBack
416,,,,,,,,709,PBGW DN,11:53,KKDA DN,12:59,66,38,No StepBack
416,,,,,,,,720,KKDA UP,13:37,PBGW UP,14:44,67,0,No StepBack
416,,,,,,,,720,PBGW UP,14:44,KKDA UP,15:37,53,0,No StepBack
,,,,,,,,,,,,,
216,07:59,PBGW UP,PBGW UP,15:54,05:59,07:55,Yes,714,PBGW UP,08:14,KKDA UP,09:07,53,0,No StepBack
216,,,,,,,,714,KKDA UP,09:07,PBGW UP,10:14,67,59,No StepBack
216,,,,,,,,707,PBGW DN,11:13,KKDA DN,12:19,66,0,No StepBack
216,,,,,,,,707,KKDA DN,12:19,PBGW DN,13:12,53,32,No StepBack
216,,,,,,,,712,PBGW UP,13:44,KKDA UP,14:37,53,0,No StepBack
216,,,,,,,,712,KKDA UP,14:37,PBGW UP,15:44,67,0,No StepBack
,,,,,,,,,,,,,
217,07:59,PBGW DN,PBGW DN,15:50,05:56,07:51,Yes,703,PBGW DN,08:14,KKDA DN,09:20,66,0,No StepBack
217,,,,,,,,703,KKDA DN,09:20,PBGW DN,10:13,53,50,No StepBack
217,,,,,,,,723,PBGW DN,11:03,KKDA DN,12:09,66,0,No StepBack
217,,,,,,,,723,KKDA DN,12:09,PBGW DN,13:02,53,40,No StepBack
217,,,,,,,,701,PBGW DN,13:42,KKDA DN,14:47,65,0,No StepBack
217,,,,,,,,701,KKDA DN,14:47,PBGW DN,15:40,53,0,No StepBack
,,,,,,,,,,,,,
417,08:06,KKDA DN,KKDA DN,16:06,05:56,08:00,Yes,707,KKDA DN,08:21,PBGW DN,09:14,53,0,No StepBack
417,,,,,,,,707,PBGW DN,09:14,KKDA DN,10:20,66,69,No StepBack
417,,,,,,,,713,KKDA DN,11:29,PBGW DN,12:22,53,0,No StepBack
417,,,,,,,,713,PBGW DN,12:22,KKDA DN,13:27,65,30,No StepBack
417,,,,,,,,715,KKDA DN,13:57,PBGW DN,14:50,53,0,No StepBack
417,,,,,,,,715,PBGW DN,14:50,KKDA DN,15:56,66,0,No StepBack
,,,,,,,,,,,,,
218,08:19,PBGW UP,PBGW DN,16:10,05:58,07:51,Yes,718,PBGW UP,08:34,KKDA UP,09:27,53,0,No StepBack
218,,,,,,,,718,KKDA UP,09:27,PBGW UP,10:34,67,50,No StepBack
218,,,,,,,,702,PBGW UP,11:24,KKDA UP,12:17,53,0,No StepBack
218,,,,,,,,702,KKDA UP,12:17,PBGW UP,13:24,67,38,No StepBack
218,,,,,,,,711,PBGW DN,14:02,KKDA DN,15:07,65,0,No StepBack
218,,,,,,,,711,KKDA DN,15:07,PBGW DN,16:00,53,0,No StepBack
,,,,,,,,,,,,,
418,09:55,KKDA DN,KKDA UP,15:57,03:46,06:02,Yes,723,KKDA DN,10:10,PBGW DN,11:03,53,41,No StepBack
418,,,,,,,,712,PBGW UP,11:44,KKDA UP,12:37,53,70,No StepBack
418,,,,,,,,722,KKDA UP,13:47,PBGW UP,14:54,67,0,No StepBack
418,,,,,,,,722,PBGW UP,14:54,KKDA UP,15:47,53,0,No StepBack
,,,,,,,,,,,,,
219,10:09,PBGW UP,PBGW UP,17:54,06:00,07:45,Yes,716,PBGW UP,10:24,KKDA UP,11:17,53,0,No StepBack
219,,,,,,,,716,KKDA UP,11:17,PBGW UP,12:24,67,50,No StepBack
219,,,,,,,,706,PBGW UP,13:14,KKDA UP,14:07,53,0,No StepBack
219,,,,,,,,706,KKDA UP,14:07,PBGW UP,15:14,67,30,No StepBack
219,,,,,,,,712,PBGW UP,15:44,KKDA UP,16:37,53,0,No StepBack
219,,,,,,,,712,KKDA UP,16:37,PBGW UP,17:44,67,0,No StepBack
,,,,,,,,,,,,,
419,11:34,KKDA DN,KKDA UP,17:07,03:46,05:33,Yes,721,KKDA DN,11:49,PBGW DN,12:42,53,52,No StepBack
419,,,,,,,,710,PBGW UP,13:34,KKDA UP,14:27,53,30,No StepBack
419,,,,,,,,708,KKDA UP,14:57,PBGW UP,16:04,67,0,No StepBack
419,,,,,,,,708,PBGW UP,16:04,KKDA UP,16:57,53,0,No StepBack
,,,,,,,,,,,,,
420,11:44,KKDA DN,KKDA UP,19:27,05:58,07:43,Yes,715,KKDA DN,11:59,PBGW DN,12:52,53,0,No StepBack
420,,,,,,,,715,PBGW DN,12:52,KKDA DN,13:57,65,30,No StepBack
420,,,,,,,,710,KKDA UP,14:27,PBGW UP,15:34,67,0,No StepBack
420,,,,,,,,710,PBGW UP,15:34,KKDA UP,16:27,53,50,No StepBack
420,,,,,,,,716,KKDA UP,17:17,PBGW UP,18:24,67,0,No StepBack
420,,,,,,,,716,PBGW UP,18:24,KKDA UP,19:17,53,0,No StepBack
,,,,,,,,,,,,,
220,11:48,PBGW DN,PBGW DN,17:29,03:45,05:41,Yes,711,PBGW DN,12:03,KKDA DN,13:09,66,0,No StepBack
220,,,,,,,,711,KKDA DN,13:09,PBGW DN,14:02,53,32,No StepBack
220,,,,,,,,718,PBGW UP,14:34,KKDA UP,15:27,53,59,No StepBack
220,,,,,,,,717,KKDA DN,16:26,PBGW DN,17:19,53,0,No StepBack
,,,,,,,,,,,,,
421,11:52,KKDA UP,KKDA UP,17:57,04:00,06:05,Yes,706,KKDA UP,12:07,PBGW UP,13:14,67,70,No StepBack
421,,,,,,,,716,PBGW UP,14:24,KKDA UP,15:17,53,30,No StepBack
421,,,,,,,,722,KKDA UP,15:47,PBGW UP,16:54,67,0,No StepBack
421,,,,,,,,722,PBGW UP,16:54,KKDA UP,17:47,53,0,No StepBack
,,,,,,,,,,,,,
221,11:57,PBGW DN,PBGW UP,17:44,03:58,05:47,Yes,703,PBGW DN,12:12,KKDA DN,13:17,65,0,No StepBack
221,,,,,,,,703,KKDA DN,13:17,PBGW DN,14:10,53,54,No StepBack
221,,,,,,,,724,PBGW UP,15:04,KKDA UP,15:57,53,30,No StepBack
221,,,,,,,,710,KKDA UP,16:27,PBGW UP,17:34,67,0,No StepBack
,,,,,,,,,,,,,
222,12:17,PBGW DN,PBGW DN,20:17,05:56,08:00,Yes,719,PBGW DN,12:32,KKDA DN,13:37,65,0,No StepBack
222,,,,,,,,719,KKDA DN,13:37,PBGW DN,14:30,53,30,No StepBack
222,,,,,,,,723,PBGW DN,15:00,KKDA DN,16:06,66,0,No StepBack
222,,,,,,,,723,KKDA DN,16:06,PBGW DN,16:59,53,69,No StepBack
222,,,,,,,,703,PBGW DN,18:08,KKDA DN,19:14,66,0,No StepBack
222,,,,,,,,703,KKDA DN,19:14,PBGW DN,20:07,53,0,No StepBack
,,,,,,,,,,,,,
223,12:19,PBGW UP,PBGW DN,20:08,05:59,07:49,Yes,718,PBGW UP,12:34,KKDA UP,13:27,53,0,No StepBack
223,,,,,,,,718,KKDA UP,13:27,PBGW UP,14:34,67,50,No StepBack
223,,,,,,,,702,PBGW UP,15:24,KKDA UP,16:17,53,0,No StepBack
223,,,,,,,,702,KKDA UP,16:17,PBGW UP,17:24,67,35,No StepBack
223,,,,,,,,711,PBGW DN,17:59,KKDA DN,19:05,66,0,No StepBack
223,,,,,,,,711,KKDA DN,19:05,PBGW DN,19:58,53,0,No StepBack
,,,,,,,,,,,,,
422,12:22,KKDA UP,KKDA UP,18:07,04:00,05:45,Yes,712,KKDA UP,12:37,PBGW UP,13:44,67,30,No StepBack
422,,,,,,,,714,PBGW UP,14:14,KKDA UP,15:07,53,50,No StepBack
422,,,,,,,,724,KKDA UP,15:57,PBGW UP,17:04,67,0,No StepBack
