Duty No,Sign On Time,Sign On Loc,Sign Off Loc,Sign Off Time,Driving Hrs,Duty Hrs,Same Jurisdiction,1st Trip,2nd Trip,3rd Trip,4th Trip,1st Break,2nd Break,3rd Break,1st break Jursd,2nd break Jursd,3rd break Jursd
201,04:30,DDSC SDG,PBGW DN,12:13,05:08,07:43,Yes,02:02,01:07,01:06,00:53,00:50,00:30,00:40,KKDA,PBGW,KKDA
401,04:30,SVVR DN SDG,KKDA UP,12:17,05:24,07:47,Yes,01:20,02:04,02:00,,00:32,01:16,,KKDA,KKDA,
402,04:50,MVPO DN,KKDA DN,12:09,05:04,07:19,Yes,01:06,01:59,01:59,,01:10,00:30,,KKDA,KKDA,
202,05:04,SAKP 3RD,PBGW UP,11:34,04:12,06:30,Yes,01:18,00:54,02:00,,00:33,01:10,,KKDA,PBGW,
403,05:05,MUPR 4TH,KKDA UP,11:57,04:19,06:52,Yes,01:40,00:53,00:53,00:53,00:34,00:53,00:31,PBGW,KKDA,PBGW
404,05:15,IPE,KKDA UP,11:07,04:05,05:52,Yes,01:08,00:57,02:00,,00:32,00:50,,PBGW,KKDA,
405,05:09,MUPR DN,KKDA DN,11:29,03:59,06:20,Yes,01:46,01:07,01:06,,00:37,01:09,,KKDA,PBGW,
203,05:20,MKPR,PBGW UP,11:54,04:09,06:34,Yes,01:56,01:06,01:07,,00:34,01:26,,PBGW,KKDA,
406,05:20,IPE,KKDA DN,11:10,04:05,05:50,Yes,02:06,01:59,,,01:20,,,KKDA,,
204,05:25,MKPR,PBGW DN,11:33,04:01,06:08,Yes,02:15,00:53,00:53,,00:59,00:43,,PBGW,KKDA,
407,05:30,IPE,KKDA DN,11:39,04:15,06:09,Yes,02:02,01:07,01:06,,00:50,00:39,,KKDA,PBGW,
408,05:30,IPE,KKDA UP,11:47,03:52,06:17,Yes,02:06,00:53,00:53,,01:00,01:00,,KKDA,PBGW,
205,05:35,MKPR,PBGW UP,12:24,04:28,06:49,Yes,02:15,01:06,01:07,,00:59,00:57,,PBGW,KKDA,
409,05:45,IPE,KKDA UP,11:17,03:43,05:32,Yes,01:57,00:53,00:53,,00:34,00:50,,KKDA,PBGW,
206,05:45,MKPR,PBGW UP,11:44,03:44,05:59,Yes,01:44,00:53,01:07,,00:40,01:10,,PBGW,KKDA,
410,05:45,IPE,KKDA UP,12:07,03:57,06:22,Yes,01:05,01:06,00:53,00:53,00:50,00:39,00:31,PBGW,KKDA,PBGW
207,05:56,MKPR,PBGW UP,12:44,04:27,06:48,Yes,01:20,01:07,02:00,,00:46,01:10,,KKDA,PBGW,
411,06:00,KKDA UP,KKDA DN,12:39,04:15,06:39,Yes,02:02,01:07,01:06,,01:00,00:59,,KKDA,PBGW,
412,06:06,KKDA DN,KKDA UP,13:57,05:59,07:51,Yes,02:00,01:59,02:00,,00:50,00:37,,KKDA,KKDA,
208,06:15,MKPR,PBGW DN,13:52,05:43,07:37,Yes,01:44,02:00,01:59,,00:30,00:59,,PBGW,PBGW,
209,06:23,PBGW UP,PBGW UP,12:54,04:06,06:31,Yes,02:06,00:53,01:07,,01:00,01:00,,PBGW,KKDA,
210,06:25,MKPR,PBGW UP,14:24,05:43,07:59,Yes,01:44,01:06,00:53,02:00,00:30,00:50,00:31,PBGW,KKDA,PBGW
211,06:26,MKPR,PBGW UP,13:14,04:26,06:48,Yes,02:13,01:06,01:07,,00:50,01:07,,PBGW,KKDA,
212,06:35,MKPR,PBGW UP,14:34,05:44,07:59,Yes,01:44,02:00,02:00,,00:30,01:20,,PBGW,PBGW,
413,06:42,KKDA UP,KKDA DN,14:37,05:57,07:55,Yes,02:00,01:59,01:58,,00:53,00:40,,KKDA,KKDA,
213,06:50,PBGW DN,PBGW DN,14:50,05:43,08:00,Yes,01:59,00:53,00:53,01:58,00:30,00:52,00:30,PBGW,KKDA,PBGW
214,06:56,MKPR,PBGW UP,13:44,04:27,06:48,Yes,01:20,01:07,02:00,,01:16,00:40,,KKDA,PBGW,
215,07:16,PBGW UP,PBGW DN,15:10,06:00,07:54,Yes,02:03,01:59,01:58,,00:59,00:30,,PBGW,PBGW,
414,07:26,KKDA DN,KKDA UP,13:47,03:59,06:21,Yes,01:59,01:07,00:53,,01:17,00:40,,KKDA,PBGW,
415,07:36,KKDA DN,KKDA DN,15:36,05:44,08:00,Yes,01:59,00:53,00:53,01:59,00:30,00:51,00:30,KKDA,PBGW,KKDA
416,07:52,KKDA UP,KKDA UP,15:47,05:59,07:55,Yes,02:00,01:59,02:00,,00:53,00:38,,KKDA,KKDA,
216,07:59,PBGW UP,PBGW UP,15:54,05:59,07:55,Yes,02:00,01:59,02:00,,00:59,00:32,,PBGW,PBGW,
217,07:59,PBGW DN,PBGW DN,15:50,05:56,07:51,Yes,01:59,01:59,01:58,,00:50,00:40,,PBGW,PBGW,
417,08:06,KKDA DN,KKDA DN,16:06,05:56,08:00,Yes,01:59,01:58,01:59,,01:09,00:30,,KKDA,KKDA,
218,08:19,PBGW UP,PBGW DN,16:10,05:58,07:51,Yes,02:00,02:00,01:58,,00:50,00:38,,PBGW,PBGW,
418,09:55,KKDA DN,KKDA UP,15:57,03:46,06:02,Yes,00:53,00:53,02:00,,00:41,01:10,,PBGW,KKDA,
219,10:09,PBGW UP,PBGW UP,17:54,06:00,07:45,Yes,02:00,02:00,02:00,,00:50,00:30,,PBGW,PBGW,
419,11:34,KKDA DN,KKDA UP,17:07,03:46,05:33,Yes,00:53,00:53,02:00,,00:52,00:30,,PBGW,KKDA,
420,11:44,KKDA DN,KKDA UP,19:27,05:58,07:43,Yes,01:58,02:00,02:00,,00:30,00:50,,KKDA,KKDA,
220,11:48,PBGW DN,PBGW DN,17:29,03:45,05:41,Yes,01:59,00:53,00:53,,00:32,00:59,,PBGW,KKDA,
421,11:52,KKDA UP,KKDA UP,17:57,04:00,06:05,Yes,01:07,00:53,02:00,,01:10,00:30,,PBGW,KKDA,
221,11:57,PBGW DN,PBGW UP,17:44,03:58,05:47,Yes,01:58,00:53,01:07,,00:54,00:30,,PBGW,KKDA,
222,12:17,PBGW DN,PBGW DN,20:17,05:56,08:00,Yes,01:58,01:59,01:59,,00:30,01:09,,PBGW,PBGW,
223,12:19,PBGW UP,PBGW DN,20:08,05:59,07:49,Yes,02:00,02:00,01:59,,00:50,00:35,,PBGW,PBGW,
422,12:22,KKDA UP,KKDA UP,18:07,04:00,05:45,Yes,01:07,00:53,02:00,,00:30,00:50,,PBGW,KKDA,
423,12:42,KKDA UP,KKDA UP,20:37,05:59,07:55,Yes,02:00,01:59,02:00,,00:59,00:32,,KKDA,KKDA,
424,12:44,KKDA DN,KKDA DN,20:34,05:57,07:50,Yes,01:58,02:00,01:59,,00:30,00:58,,KKDA,KKDA,
224,12:49,PBGW UP,PBGW DN,20:47,05:58,07:58,Yes,02:00,01:59,01:59,,00:56,00:39,,PBGW,PBGW,
225,12:57,PBGW DN,PBGW DN,20:57,05:56,08:00,Yes,01:58,01:59,01:59,,00:30,01:09,,PBGW,PBGW,
226,13:09,PBGW UP,PBGW DN,21:07,05:58,07:58,Yes,02:00,01:59,01:59,,01:05,00:30,,PBGW,PBGW,
227,13:55,PBGW DN,PBGW UP,21:54,05:58,07:59,Yes,01:59,01:59,02:00,,00:30,01:06,,PBGW,PBGW,
425,14:12,KKDA DN,KKDA UP,22:07,05:58,07:55,Yes,01:59,01:59,02:00,,00:30,01:02,,KKDA,KKDA,
228,14:15,PBGW DN,MKPR,22:00,05:41,07:45,Yes,01:59,01:59,01:43,,00:30,01:09,,PBGW,PBGW,
229,14:25,PBGW DN,PBGW DN,22:24,05:56,07:59,Yes,01:59,02:00,01:57,,00:35,01:03,,PBGW,PBGW,
426,14:42,KKDA DN,KKDA UP,22:27,05:59,07:45,Yes,01:59,02:00,02:00,,00:31,00:50,,KKDA,KKDA,
427,14:52,KKDA UP,KKDA DN,22:52,05:57,08:00,Yes,02:00,01:59,01:58,,01:08,00:30,,KKDA,KKDA,
230,14:55,PBGW DN,MKPR,22:50,05:41,07:55,Yes,01:59,01:59,01:43,,01:19,00:30,,PBGW,PBGW,
231,14:59,PBGW UP,PBGW DN,22:57,05:59,07:58,Yes,02:00,01:59,02:00,,01:04,00:30,,PBGW,PBGW,
428,15:02,KKDA UP,KKDA DN,23:02,05:58,08:00,Yes,02:00,02:00,01:58,,01:00,00:37,,KKDA,KKDA,
429,15:11,KKDA DN,IPE,23:07,05:36,07:56,Yes,01:59,01:07,02:30,,01:12,00:43,,KKDA,PBGW,
430,15:22,KKDA UP,IPE,23:17,05:37,07:55,Yes,02:00,01:07,02:30,,01:20,00:33,,KKDA,PBGW,
232,15:54,PBGW DN,MKPR,22:29,04:14,06:35,Yes,01:59,02:15,,,01:56,,,PBGW,,
431,16:42,KKDA UP,MUPR DN PF STABLE,24:34,05:20,07:52,Yes,01:07,00:53,01:58,01:22,00:50,00:37,00:30,PBGW,KKDA,KKDA
432,16:52,KKDA UP,IPE,23:34,04:20,06:42,Yes,01:07,01:06,02:07,,01:24,00:33,,PBGW,KKDA,
233,16:54,PBGW DN,SAKP 3RD PF STABLE,24:12,04:47,07:18,Yes,01:06,00:53,00:53,01:55,00:30,00:56,00:30,KKDA,PBGW,KKDA
234,17:04,PBGW DN,MKPR,23:39,04:28,06:35,Yes,01:06,01:07,02:15,,01:12,00:30,,KKDA,PBGW,
235,17:09,PBGW UP,DDSC SDG STABLE,24:04,04:25,06:55,Yes,00:53,01:07,00:53,01:32,00:50,00:30,00:35,KKDA,PBGW,KKDA
433,17:10,KKDA DN,MUPR 4TH PF STABLE,23:32,03:51,06:22,Yes,00:53,00:53,02:05,,00:56,01:00,,PBGW,KKDA,
236,17:19,PBGW UP,DDSC DN PF STABLE,24:14,04:25,06:55,Yes,00:53,01:07,00:53,01:32,00:50,00:30,00:35,KKDA,PBGW,KKDA
434,17:22,KKDA UP,MUPR 4TH SDG,24:12,04:18,06:50,Yes,01:07,01:06,02:05,,01:14,00:43,,PBGW,KKDA,
237,17:24,PBGW DN,MKPR,23:59,04:28,06:35,Yes,01:06,01:07,02:15,,01:02,00:40,,KKDA,PBGW,
238,17:29,PBGW UP,MKPR,23:30,03:43,06:01,Yes,00:53,01:07,01:05,00:38,00:50,00:33,00:30,KKDA,PBGW,KKDA
435,17:32,KKDA UP,SVVR DN SDG STABLE,24:10,04:13,06:38,Yes,01:07,00:53,02:13,,01:20,00:30,,PBGW,KKDA,
436,17:40,KKDA DN,IPE,23:44,04:06,06:04,Yes,00:53,01:06,02:07,,01:00,00:33,,PBGW,KKDA,
437,17:42,KKDA UP,MVPO DN PF  STABLE,24:15,04:03,06:33,Yes,02:00,00:55,01:08,,01:07,00:48,,KKDA,PBGW,
239,17:49,PBGW UP,MKPR,24:09,04:01,06:20,Yes,00:53,00:53,02:15,,01:17,00:37,,KKDA,PBGW,
240,17:59,PBGW UP,MKPR,23:53,03:44,05:54,Yes,00:53,01:07,01:44,,01:00,00:45,,KKDA,PBGW,
241,18:29,PBGW UP,MKPR,24:08,03:44,05:39,Yes,00:53,01:07,01:44,,00:50,00:40,,KKDA,PBGW,
438,18:40,KKDA DN,MUPR 3RD SDG,24:52,04:01,06:12,Yes,00:53,00:53,02:15,,00:36,01:00,,PBGW,KKDA,
