Rake Num,Start Stn,Start Time,End Stn,End Time,Duty Num
701,SAKP 3RD,05:29,PBGW DN,05:33,202
701,PBGW DN,05:33,IPE,06:40,202
701,IPE,06:40,KKDA DN,06:47,202
701,KKDA DN,06:47,MKPR,07:25,401
701,MKPR,07:31,PBGW DN,07:45,401
701,PBGW DN,07:45,IPE,08:44,401
701,IPE,08:44,KKDA DN,08:51,401
701,KKDA DN,08:51,MKPR,09:29,408
701,MKPR,09:30,PBGW DN,09:44,408
701,PBGW DN,09:44,IPE,10:43,211
701,IPE,10:43,KKDA DN,10:50,211
701,KKDA DN,10:50,MKPR,11:28,210
701,MKPR,11:28,PBGW DN,11:43,210
701,PBGW DN,11:43,IPE,12:42,208
701,IPE,12:42,KKDA DN,12:49,208
701,KKDA DN,12:49,MKPR,13:26,208
701,MKPR,13:27,PBGW DN,13:42,208
701,PBGW DN,13:42,IPE,14:41,217
701,IPE,14:41,KKDA DN,14:47,217
701,KKDA DN,14:47,MKPR,15:25,217
701,MKPR,15:26,PBGW DN,15:40,217
701,PBGW DN,15:40,IPE,16:39,225
701,IPE,16:39,KKDA DN,16:46,225
701,KKDA DN,16:46,MKPR,17:24,225
701,MKPR,17:25,PBGW DN,17:39,225
701,PBGW DN,17:39,IPE,18:38,237
701,IPE,18:38,KKDA DN,18:45,237
701,KKDA DN,18:45,MKPR,19:23,233
701,MKPR,19:23,PBGW DN,19:38,233
701,PBGW DN,19:38,IPE,20:37,432
701,IPE,20:37,KKDA DN,20:44,432
701,KKDA DN,20:44,MKPR,21:21,427
701,MKPR,21:22,PBGW DN,21:37,427
701,PBGW DN,21:37,IPE,22:36,427
701,IPE,22:36,KKDA DN,22:42,427
701,KKDA DN,22:42,MKPR,23:20,238
 , , , , , 
702,SVVR DN SDG,04:55,KKDA UP,06:15,401
702,KKDA UP,06:15,IPE,06:22,411
702,IPE,06:22,PBGW UP,07:21,411
702,PBGW UP,07:21,MKPR,07:36,411
702,MKPR,07:40,KKDA UP,08:17,411
702,KKDA UP,08:17,IPE,08:24,207
702,IPE,08:24,PBGW UP,09:24,207
702,PBGW UP,09:24,MKPR,09:39,202
702,MKPR,09:40,KKDA UP,10:17,202
702,KKDA UP,10:17,IPE,10:24,202
702,IPE,10:24,PBGW UP,11:24,202
702,PBGW UP,11:24,MKPR,11:39,218
702,MKPR,11:40,KKDA UP,12:17,218
702,KKDA UP,12:17,IPE,12:24,218
702,IPE,12:24,PBGW UP,13:24,218
702,PBGW UP,13:24,MKPR,13:39,226
702,MKPR,13:40,KKDA UP,14:17,226
702,KKDA UP,14:17,IPE,14:24,226
702,IPE,14:24,PBGW UP,15:24,226
702,PBGW UP,15:24,MKPR,15:39,223
702,MKPR,15:40,KKDA UP,16:17,223
702,KKDA UP,16:17,IPE,16:24,223
702,IPE,16:24,PBGW UP,17:24,223
702,PBGW UP,17:24,MKPR,17:39,235
702,MKPR,17:40,KKDA UP,18:17,235
702,KKDA UP,18:17,IPE,18:24,428
702,IPE,18:24,PBGW UP,19:24,428
702,PBGW UP,19:24,MKPR,19:39,428
702,MKPR,19:40,KKDA UP,20:17,428
702,KKDA UP,20:17,IPE,20:24,426
702,IPE,20:24,PBGW UP,21:24,426
702,PBGW UP,21:24,MKPR,21:39,426
702,MKPR,21:40,KKDA UP,22:17,426
702,KKDA UP,22:17,IPE,22:24,438
702,IPE,22:24,PBGW UP,23:24,438
702,PBGW UP,23:24,MKPR,23:39,438
702,MKPR,23:50,MUPR,24:12,438
702,MUPR,24:12,MUPR 3RD SDG,24:32,438
 , , , , , 
703,MUPR DN,05:34,MKPR,05:54,405
703,MKPR,06:00,PBGW DN,06:14,405
703,PBGW DN,06:14,IPE,07:13,405
703,IPE,07:13,KKDA DN,07:20,405
703,KKDA DN,07:20,MKPR,07:58,202
703,MKPR,08:00,PBGW DN,08:14,202
703,PBGW DN,08:14,IPE,09:13,217
703,IPE,09:13,KKDA DN,09:20,217
703,KKDA DN,09:20,MKPR,09:58,217
703,MKPR,09:58,PBGW DN,10:13,217
703,PBGW DN,10:13,IPE,11:12,405
703,IPE,11:12,KKDA DN,11:19,405
703,KKDA DN,11:19,MKPR,11:56,213
703,MKPR,11:57,PBGW DN,12:12,213
703,PBGW DN,12:12,IPE,13:11,221
703,IPE,13:11,KKDA DN,13:17,221
703,KKDA DN,13:17,MKPR,13:55,221
703,MKPR,13:56,PBGW DN,14:10,221
703,PBGW DN,14:10,IPE,15:09,227
703,IPE,15:09,KKDA DN,15:16,227
703,KKDA DN,15:16,MKPR,15:54,227
703,MKPR,15:55,PBGW DN,16:09,227
703,PBGW DN,16:09,IPE,17:08,232
703,IPE,17:08,KKDA DN,17:15,232
703,KKDA DN,17:15,MKPR,17:53,232
703,MKPR,17:53,PBGW DN,18:08,232
703,PBGW DN,18:08,IPE,19:07,222
703,IPE,19:07,KKDA DN,19:14,222
703,KKDA DN,19:14,MKPR,19:51,222
703,MKPR,19:52,PBGW DN,20:07,222
703,PBGW DN,20:07,IPE,21:06,228
703,IPE,21:06,KKDA DN,21:12,228
703,KKDA DN,21:12,MKPR,21:50,228
 , , , , , 
706,MUPR 4TH,05:30,KKDA UP,06:04,403
706,KKDA UP,06:04,IPE,06:11,403
706,IPE,06:11,PBGW UP,07:10,403
706,PBGW UP,07:10,MKPR,07:26,404
706,MKPR,07:30,KKDA UP,08:07,404
706,KKDA UP,08:07,IPE,08:14,416
706,IPE,08:14,PBGW UP,09:14,416
706,PBGW UP,09:14,MKPR,09:29,416
706,MKPR,09:30,KKDA UP,10:07,416
706,KKDA UP,10:07,IPE,10:14,401
706,IPE,10:14,PBGW UP,11:14,401
706,PBGW UP,11:14,MKPR,11:29,401
706,MKPR,11:30,KKDA UP,12:07,401
706,KKDA UP,12:07,IPE,12:14,421
706,IPE,12:14,PBGW UP,13:14,421
706,PBGW UP,13:14,MKPR,13:29,219
706,MKPR,13:30,KKDA UP,14:07,219
706,KKDA UP,14:07,IPE,14:14,219
706,IPE,14:14,PBGW UP,15:14,219
706,PBGW UP,15:14,MKPR,15:29,231
706,MKPR,15:30,KKDA UP,16:07,231
706,KKDA UP,16:07,IPE,16:14,231
706,IPE,16:14,PBGW UP,17:14,231
706,PBGW UP,17:14,MKPR,17:29,229
706,MKPR,17:30,KKDA UP,18:07,229
706,KKDA UP,18:07,IPE,18:14,229
706,IPE,18:14,PBGW UP,19:14,229
706,PBGW UP,19:14,MKPR,19:29,433
706,MKPR,19:30,KKDA UP,20:07,433
706,KKDA UP,20:07,IPE,20:14,240
706,IPE,20:14,PBGW UP,21:14,240
706,PBGW UP,21:14,MKPR,21:29,234
706,MKPR,21:30,KKDA UP,22:07,234
706,KKDA UP,22:07,IPE,22:14,234
706,IPE,22:14,PBGW UP,23:14,234
706,PBGW UP,23:14,MKPR,23:29,234
 , , , , , 
707,MVPO DN,05:15,IPE,06:15,402
707,IPE,06:15,KKDA DN,06:21,402
