,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
0,708,DDSC SDG,04:55,PBGW UP,06:01,UP,66
1,702,SVVR DN SDG,04:55,KKDA UP,06:15,UP,80
2,707,MVPO DN,05:15,IPE,06:15,DN,60
3,701,SAKP 3RD,05:29,PBGW DN,05:33,DN,4
4,706,MUPR 4TH,05:30,KKDA UP,06:04,UP,34
5,720,IPE,05:30,PBGW UP,06:38,UP,68
6,701,PBGW DN,05:33,IPE,06:40,DN,67
7,703,MUPR DN,05:34,MKPR,05:54,DN,20
8,710,MKPR,05:35,KKDA UP,06:25,UP,50
9,719,IPE,05:35,KKDA DN,05:41,DN,6
10,709,MKPR,05:40,PBGW DN,05:55,DN,15
11,719,KKDA DN,05:41,MKPR,06:21,DN,40
12,705,DDSC DN,05:44,IPE,06:32,DN,48
13,722,IPE,05:45,PBGW UP,06:49,UP,64
14,721,IPE,05:45,KKDA DN,05:50,DN,5
15,711,MKPR,05:50,PBGW DN,06:03,DN,13
16,721,KKDA DN,05:50,MKPR,06:31,DN,41
17,709,PBGW DN,05:55,IPE,06:50,DN,55
18,724,IPE,06:00,PBGW UP,06:59,UP,59
19,703,MKPR,06:00,PBGW DN,06:14,DN,14
20,723,IPE,06:00,KKDA DN,06:06,DN,6
21,712,MKPR,06:00,KKDA UP,06:37,UP,37
22,708,PBGW UP,06:01,MKPR,06:17,UP,16
23,711,PBGW DN,06:03,IPE,07:02,DN,59
24,706,KKDA UP,06:04,IPE,06:11,UP,7
25,704,SVVR DN,06:05,KKDA UP,06:47,UP,42
26,723,KKDA DN,06:06,MKPR,06:44,DN,38
27,706,IPE,06:11,PBGW UP,07:10,UP,59
28,713,MKPR,06:11,PBGW DN,06:25,DN,14
29,703,PBGW DN,06:14,IPE,07:13,DN,59
30,707,IPE,06:15,KKDA DN,06:21,DN,6
31,702,KKDA UP,06:15,IPE,06:22,UP,7
32,708,MKPR,06:20,KKDA UP,06:57,UP,37
33,707,KKDA DN,06:21,MKPR,06:59,DN,38
