,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
CC1 INDUCTIONS,13,,CC1 STABLING,13,,,
CC2 INDUCTIONS,11,,CC2 STABLING,11,,,
TOTAL INDUCTIONS,24,,TOTAL STABLING,24,,,
,,,,,,,
Induction Rows are as follows:,,,,,,,
,,,,,,,
3,701,SAKP 3RD,05:29,PBGW DN,05:33,DN,4
,,,,,,,
1,702,SVVR DN SDG,04:55,KKDA UP,06:15,UP,80
,,,,,,,
7,703,MUPR DN,05:34,MKPR,05:54,DN,20
,,,,,,,
25,704,SVVR DN,06:05,KKDA UP,06:47,UP,42
,,,,,,,
12,705,DDSC DN,05:44,IPE,06:32,DN,48
,,,,,,,
4,706,MUPR 4TH,05:30,KKDA UP,06:04,UP,34
,,,,,,,
2,707,MVPO DN,05:15,IPE,06:15,DN,60
,,,,,,,
0,708,DDSC SDG,04:55,PBGW UP,06:01,UP,66
,,,,,,,
10,709,MKPR,05:40,PBGW DN,05:55,DN,15
,,,,,,,
8,710,MKPR,05:35,KKDA UP,06:25,UP,50
,,,,,,,
15,711,MKPR,05:50,PBGW DN,06:03,DN,13
,,,,,,,
21,712,MKPR,06:00,KKDA UP,06:37,UP,37
,,,,,,,
28,713,MKPR,06:11,PBGW DN,06:25,DN,14
,,,,,,,
38,714,MKPR,06:30,KKDA UP,07:07,UP,37
,,,,,,,
48,715,MKPR,06:41,PBGW DN,06:55,DN,14
,,,,,,,
46,716,MKPR,06:40,KKDA UP,07:17,UP,37
,,,,,,,
71,717,MKPR,07:11,PBGW DN,07:25,DN,14
,,,,,,,
55,718,MKPR,06:50,KKDA UP,07:27,UP,37
,,,,,,,
9,719,IPE,05:35,KKDA DN,05:41,DN,6
,,,,,,,
5,720,IPE,05:30,PBGW UP,06:38,UP,68
,,,,,,,
14,721,IPE,05:45,KKDA DN,05:50,DN,5
,,,,,,,
13,722,IPE,05:45,PBGW UP,06:49,UP,64
,,,,,,,
20,723,IPE,06:00,KKDA DN,06:06,DN,6
,,,,,,,
18,724,IPE,06:00,PBGW UP,06:59,UP,59
,,,,,,,
Stabling Rows are as follows:,,,,,,,
,,,,,,,
812,701,KKDA DN,22:42,MKPR,23:20,DN,38
,,,,,,,
851,702,MUPR,24:12,MUPR 3RD SDG,24:32,UP,20
,,,,,,,
745,703,KKDA DN,21:12,MKPR,21:50,DN,38
,,,,,,,
817,704,KKDA UP,22:47,IPE,22:54,UP,7
,,,,,,,
805,705,KKDA DN,22:32,MKPR,23:10,DN,38
,,,,,,,
833,706,PBGW UP,23:14,MKPR,23:29,UP,15
,,,,,,,
839,707,DDSC,23:24,DDSC SDG STABLE,23:44,DN,20
,,,,,,,
786,708,PBGW UP,22:04,MKPR,22:19,UP,15
,,,,,,,
850,709,MUPR,23:54,MUPR DN PF STABLE,24:14,UP,20
,,,,,,,
846,710,PBGW UP,23:34,MKPR,23:49,UP,15
,,,,,,,
829,711,KKDA DN,23:05,MKPR,23:43,DN,38
,,,,,,,
848,712,PBGW UP,23:44,MKPR,23:59,UP,15
,,,,,,,
836,713,KKDA DN,23:20,MKPR,23:58,DN,38
,,,,,,,
822,714,MUPR,22:52,MUPR 4TH PF STABLE,23:12,UP,20
,,,,,,,
847,715,MVPO,23:35,MVPO DN PF  STABLE,23:55,DN,20
,,,,,,,
835,716,KKDA UP,23:17,IPE,23:24,UP,7
,,,,,,,
845,717,DDSC,23:34,DDSC DN PF STABLE,23:54,DN,20
,,,,,,,
841,718,KKDA UP,23:27,IPE,23:34,UP,7
,,,,,,,
818,719,KKDA UP,22:50,IPE,22:57,UP,7
,,,,,,,
838,720,MUPR,23:22,SVVR DN SDG STABLE,23:50,UP,28
,,,,,,,
825,721,KKDA UP,23:00,IPE,23:07,UP,7
,,,,,,,
843,722,MUPR,23:32,MUPR 4TH SDG,23:52,UP,20
,,,,,,,
785,723,KKDA DN,22:02,MKPR,22:40,DN,38
,,,,,,,
842,724,SAKP,23:32,SAKP 3RD PF STABLE,23:52,DN,20
