,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
0,708,DDSC SDG,04:55,PBGW UP,06:01,UP,66
15,702,SVVR DN SDG,04:55,KKDA UP,06:15,UP,80
3,720,IPE,05:30,PBGW UP,06:38,UP,68
11,706,MUPR 4TH,05:30,KKDA UP,06:04,UP,34
20,710,MKPR,05:35,KKDA UP,06:25,UP,50
6,722,IPE,05:45,PBGW UP,06:49,UP,64
9,724,IPE,06:00,PBGW UP,06:59,UP,59
25,712,MKPR,06:00,KKDA UP,06:37,UP,37
1,708,PBGW UP,06:01,MKPR,06:17,UP,16
12,706,KKDA UP,06:04,IPE,06:11,UP,7
29,704,SVVR DN,06:05,KKDA UP,06:47,UP,42
13,706,IPE,06:11,PBGW UP,07:10,UP,59
16,702,KKDA UP,06:15,IPE,06:22,UP,7
34,708,MKPR,06:20,KKDA UP,06:57,UP,37
17,702,IPE,06:22,PBGW UP,07:21,UP,59
21,710,KKDA UP,06:25,IPE,06:32,UP,7
39,714,MKPR,06:30,KKDA UP,07:07,UP,37
22,710,IPE,06:32,PBGW UP,07:31,UP,59
26,712,KKDA UP,06:37,IPE,06:44,UP,7
4,720,PBGW UP,06:38,MKPR,06:53,UP,15
44,716,MKPR,06:40,KKDA UP,07:17,UP,37
27,712,IPE,06:44,PBGW UP,07:44,UP,60
30,704,KKDA UP,06:47,IPE,06:54,UP,7
7,722,PBGW UP,06:49,MKPR,07:04,UP,15
49,718,MKPR,06:50,KKDA UP,07:27,UP,37
31,704,IPE,06:54,PBGW UP,07:54,UP,60
35,708,KKDA UP,06:57,IPE,07:04,UP,7
10,724,PBGW UP,06:59,MKPR,07:14,UP,15
54,720,MKPR,07:00,KKDA UP,07:37,UP,37
36,708,IPE,07:04,PBGW UP,08:04,UP,60
40,714,KKDA UP,07:07,IPE,07:14,UP,7
59,722,MKPR,07:10,KKDA UP,07:47,UP,37
14,706,PBGW UP,07:10,MKPR,07:26,UP,16
41,714,IPE,07:14,PBGW UP,08:14,UP,60
45,716,KKDA UP,07:17,IPE,07:24,UP,7
64,724,MKPR,07:20,KKDA UP,07:57,UP,37
18,702,PBGW UP,07:21,MKPR,07:36,UP,15
46,716,IPE,07:24,PBGW UP,08:24,UP,60
50,718,KKDA UP,07:27,IPE,07:34,UP,7
69,706,MKPR,07:30,KKDA UP,08:07,UP,37
23,710,PBGW UP,07:31,MKPR,07:46,UP,15
51,718,IPE,07:34,PBGW UP,08:34,UP,60
55,720,KKDA UP,07:37,IPE,07:44,UP,7
74,702,MKPR,07:40,KKDA UP,08:17,UP,37
28,712,PBGW UP,07:44,MKPR,07:59,UP,15
56,720,IPE,07:44,PBGW UP,08:44,UP,60
60,722,KKDA UP,07:47,IPE,07:54,UP,7
79,710,MKPR,07:50,KKDA UP,08:27,UP,37
32,704,PBGW UP,07:54,MKPR,08:09,UP,15
61,722,IPE,07:54,PBGW UP,08:54,UP,60
65,724,KKDA UP,07:57,IPE,08:04,UP,7
84,712,MKPR,08:00,KKDA UP,08:37,UP,37
66,724,IPE,08:04,PBGW UP,09:04,UP,60
37,708,PBGW UP,08:04,MKPR,08:19,UP,15
70,706,KKDA UP,08:07,IPE,08:14,UP,7
89,704,MKPR,08:10,KKDA UP,08:47,UP,37
71,706,IPE,08:14,PBGW UP,09:14,UP,60
42,714,PBGW UP,08:14,MKPR,08:29,UP,15
75,702,KKDA UP,08:17,IPE,08:24,UP,7
94,708,MKPR,08:20,KKDA UP,08:57,UP,37
76,702,IPE,08:24,PBGW UP,09:24,UP,60
47,716,PBGW UP,08:24,MKPR,08:39,UP,15
80,710,KKDA UP,08:27,IPE,08:34,UP,7
99,714,MKPR,08:30,KKDA UP,09:07,UP,37
81,710,IPE,08:34,PBGW UP,09:34,UP,60
52,718,PBGW UP,08:34,MKPR,08:49,UP,15
85,712,KKDA UP,08:37,IPE,08:44,UP,7
104,716,MKPR,08:40,KKDA UP,09:17,UP,37
57,720,PBGW UP,08:44,MKPR,08:59,UP,15
86,712,IPE,08:44,PBGW UP,09:44,UP,60
