,Rake Num,Start Station,Start Time,End Station,End Time,Direction,Service Time
10,707,MVPO DN,05:15,IPE,06:15,DN,60
16,701,SAKP 3RD,05:29,PBGW DN,05:33,DN,4
17,701,PBGW DN,05:33,IPE,06:40,DN,67
0,703,MUPR DN,05:34,MKPR,05:54,DN,20
2,719,IPE,05:35,KKDA DN,05:41,DN,6
21,709,MKPR,05:40,PBGW DN,05:55,DN,15
3,719,KKDA DN,05:41,MKPR,06:21,DN,40
13,705,DDSC DN,05:44,IPE,06:32,DN,48
5,721,IPE,05:45,KKDA DN,05:50,DN,5
6,721,KKDA DN,05:50,MKPR,06:31,DN,41
26,711,MKPR,05:50,PBGW DN,06:03,DN,13
22,709,PBGW DN,05:55,IPE,06:50,DN,55
8,723,IPE,06:00,KKDA DN,06:06,DN,6
31,703,MKPR,06:00,PBGW DN,06:14,DN,14
27,711,PBGW DN,06:03,IPE,07:02,DN,59
9,723,KKDA DN,06:06,MKPR,06:44,DN,38
36,713,MKPR,06:11,PBGW DN,06:25,DN,14
32,703,PBGW DN,06:14,IPE,07:13,DN,59
11,707,IPE,06:15,KKDA DN,06:21,DN,6
12,707,KKDA DN,06:21,MKPR,06:59,DN,38
41,719,MKPR,06:21,PBGW DN,06:35,DN,14
37,713,PBGW DN,06:25,IPE,07:24,DN,59
46,721,MKPR,06:31,PBGW DN,06:45,DN,14
14,705,IPE,06:32,KKDA DN,06:39,DN,7
42,719,PBGW DN,06:35,IPE,07:34,DN,59
15,705,KKDA DN,06:39,MKPR,07:16,DN,37
18,701,IPE,06:40,KKDA DN,06:47,DN,7
51,715,MKPR,06:41,PBGW DN,06:55,DN,14
47,721,PBGW DN,06:45,IPE,07:44,DN,59
19,701,KKDA DN,06:47,MKPR,07:25,DN,38
23,709,IPE,06:50,KKDA DN,06:57,DN,7
56,723,MKPR,06:51,PBGW DN,07:05,DN,14
52,715,PBGW DN,06:55,IPE,07:54,DN,59
24,709,KKDA DN,06:57,MKPR,07:35,DN,38
61,707,MKPR,07:01,PBGW DN,07:15,DN,14
28,711,IPE,07:02,KKDA DN,07:09,DN,7
57,723,PBGW DN,07:05,IPE,08:04,DN,59
29,711,KKDA DN,07:09,MKPR,07:47,DN,38
66,717,MKPR,07:11,PBGW DN,07:25,DN,14
33,703,IPE,07:13,KKDA DN,07:20,DN,7
62,707,PBGW DN,07:15,IPE,08:14,DN,59
34,703,KKDA DN,07:20,MKPR,07:58,DN,38
71,705,MKPR,07:21,PBGW DN,07:35,DN,14
38,713,IPE,07:24,KKDA DN,07:31,DN,7
67,717,PBGW DN,07:25,IPE,08:24,DN,59
76,701,MKPR,07:31,PBGW DN,07:45,DN,14
39,713,KKDA DN,07:31,MKPR,08:09,DN,38
43,719,IPE,07:34,KKDA DN,07:41,DN,7
72,705,PBGW DN,07:35,IPE,08:34,DN,59
81,709,MKPR,07:41,PBGW DN,07:55,DN,14
44,719,KKDA DN,07:41,MKPR,08:19,DN,38
48,721,IPE,07:44,KKDA DN,07:51,DN,7
77,701,PBGW DN,07:45,IPE,08:44,DN,59
86,711,MKPR,07:51,PBGW DN,08:05,DN,14
49,721,KKDA DN,07:51,MKPR,08:29,DN,38
53,715,IPE,07:54,KKDA DN,08:01,DN,7
82,709,PBGW DN,07:55,IPE,08:54,DN,59
91,703,MKPR,08:00,PBGW DN,08:14,DN,14
54,715,KKDA DN,08:01,MKPR,08:39,DN,38
58,723,IPE,08:04,KKDA DN,08:11,DN,7
87,711,PBGW DN,08:05,IPE,09:04,DN,59
96,713,MKPR,08:10,PBGW DN,08:24,DN,14
59,723,KKDA DN,08:11,MKPR,08:49,DN,38
92,703,PBGW DN,08:14,IPE,09:13,DN,59
63,707,IPE,08:14,KKDA DN,08:21,DN,7
101,719,MKPR,08:20,PBGW DN,08:34,DN,14
64,707,KKDA DN,08:21,MKPR,08:59,DN,38
68,717,IPE,08:24,KKDA DN,08:31,DN,7
